time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-01-31T23:36:10.900Z,23.205,70.07,10,4.4,mb,22,,,1.07,us,usp000a8t6,2014-11-07T01:12:00.532Z,"11 km NNE of Anj?r, India",earthquake,,,,6,reviewed,us,us
2001-01-31T23:01:42.040Z,48.857,142.404,10,4.3,mb,24,,,1.24,us,usp000a8t3,2014-11-07T01:12:00.517Z,"35 km SE of Uglegorsk, Russia",earthquake,,,,9,reviewed,us,us
2001-01-31T22:39:54.190Z,-0.513,-19.802,10,4.1,mb,15,,,0.66,us,usp000a8t2,2014-11-07T01:12:00.515Z,"central Mid-Atlantic Ridge",earthquake,,,,2,reviewed,us,us
2001-01-31T22:23:37.700Z,-41.33,174.78,24,2,ml,5,,,,us,usp000a8t1,2014-11-07T01:12:00.514Z,"3 km SSE of Brooklyn, New Zealand",earthquake,,,,,reviewed,wel,wel
2001-01-31T22:17:36.660Z,44.4,10.936,8.4,2.8,ml,21,,,,us,usp000a8t0,2014-11-07T01:12:00.511Z,"3 km SW of Guiglia, Italy",earthquake,,,,,reviewed,gen,ldg
2001-01-31T22:02:01.740Z,11.479,-86.359,33,4.6,mb,93,,,0.98,us,usp000a8sz,2014-11-07T01:12:00.503Z,"33 km S of El Rosario, Nicaragua",earthquake,,,,26,reviewed,us,us
2001-01-31T21:22:50.750Z,28.64,139.842,356.6,3.5,mb,9,,,0.59,us,usp000a8sy,2014-11-07T01:12:00.502Z,"Bonin Islands, Japan region",earthquake,,17.5,,1,reviewed,us,us
2001-01-31T21:14:12.500Z,-34.401,-70.545,116.3,3.5,md,12,,,,us,usp000a8sx,2014-11-07T01:12:00.500Z,"26 km SSE of Machalí, Chile",earthquake,,,,,reviewed,guc,guc
2001-01-31T21:02:29.020Z,46.7623333,-122.7761667,0.229,2.3,md,7,158,0.1051,0.11,uw,uw10529298,2016-07-23T00:25:43.590Z,"8 km ESE of Bucoda, Washington",explosion,1.362,0.91,0.04,2,reviewed,uw,uw
2001-01-31T20:43:58.800Z,-33.143,-70.246,6.6,3.3,md,5,,,,us,usp000a8su,2014-11-07T01:12:00.496Z,"41 km ENE of Chicureo Abajo, Chile",earthquake,,,,,reviewed,guc,guc
