time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-06-30T22:01:18.390Z,44.7628333,-111.071,11.5,2.51,ml,31,66,0.04184,0.24,uu,uu60028997,2018-09-12T17:45:09.530Z,"9 km E of Hebgen Lake Estates, Montana",earthquake,0.38,0.53,0.082,4,reviewed,uu,uu
2013-06-30T21:40:25.730Z,38.7918333,-122.801,2.678,2.01,md,70,31,0.003604,0.06,nc,nc72018080,2017-02-01T02:15:08.870Z,"7 km WSW of Cobb, California",earthquake,0.11,0.19,0.179,42,reviewed,nc,nc
2013-06-30T21:25:04.770Z,-26.715,178.583,568.5,4.6,mb,108,74,,0.97,us,usb000i3x6,2014-11-07T01:51:08.472Z,"south of the Fiji Islands",earthquake,,6.9,,70,reviewed,us,us
2013-06-30T21:10:20.580Z,49.3805,-120.5093333,-0.54,2.39,md,14,203,0.5872,0.43,uw,uw60547581,2016-07-22T19:12:53.550Z,"British Columbia, Canada",explosion,1.91,31.61,0.168,13,reviewed,uw,uw
2013-06-30T20:57:10.510Z,60.171,-152.7371,104.9,2,ml,,,,0.43,ak,ak0138boiq3v,2019-05-15T23:32:19.943Z,"60 km WNW of Ninilchik, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2013-06-30T20:19:12.920Z,38.8,20.39,17,4,mb,29,100,,,us,usp000k1m0,2014-11-07T01:51:08.469Z,"27 km W of Lefkáda, Greece",earthquake,,,,6,reviewed,ath,us
2013-06-30T19:37:41.100Z,18.8071,-65.536,39,2.3,Md,3,306,0.55156558,0.05,pr,pr13181006,2013-06-30T20:35:45.740Z,"51 km NNE of Luquillo, Puerto Rico",earthquake,2.1,5,0,3,reviewed,pr,pr
2013-06-30T19:16:58.367Z,62.2372,-148.3906,30.5,2.1,ml,,,,0.52,ak,ak0138bnolu4,2019-05-15T23:32:17.906Z,"49 km N of Chickaloon, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2013-06-30T19:04:02.900Z,18.7689,-65.167,33,3.4,Md,7,334.8,1.13906378,0.15,pr,pr13181005,2014-11-07T01:51:08.466Z,"53 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.8,10.5,0,5,reviewed,pr,pr
2013-06-30T18:52:03.199Z,58.3328,-133.5137,3.2,2.6,ml,,,,0.54,ak,ak0138bnarr3,2019-05-15T23:32:17.201Z,"53 km E of Juneau, Alaska",other event,,0.7,,,reviewed,ak,ak
2013-06-30T18:08:04.050Z,39.224,73.482,25.6,4.3,mb,53,55,,1.49,us,usp000k1kx,2014-11-07T01:51:08.457Z,"110 km ESE of Kyzyl-Eshme, Kyrgyzstan",earthquake,,5.5,,27,reviewed,us,us
2013-06-30T17:16:08.150Z,-7.102,155.978,91.2,4.5,mb,43,100,,0.92,us,usp000k1kw,2014-11-07T01:51:08.430Z,"102 km SSE of Panguna, Papua New Guinea",earthquake,,6.3,,33,reviewed,us,us
2013-06-30T17:13:55.160Z,40.3863333,-124.7251667,22.981,2.53,md,35,282,0.309,0.34,nc,nc72017985,2017-02-01T02:13:30.656Z,"44 km WSW of Ferndale, California",earthquake,1.95,2.6,0.28,33,reviewed,nc,nc
2013-06-30T16:39:13.940Z,-14.576,-75.292,47,4.9,mb,154,100,,0.71,us,usb000i3t2,2022-05-03T16:22:40.102Z,"near the coast of central Peru",earthquake,,3.5,,120,reviewed,us,us
2013-06-30T16:35:50.000Z,18.9556,-67.8261,7,2.8,Md,8,205.2,0.65577016,0.5,pr,pr13181004,2014-11-07T01:51:08.417Z,"73 km NE of Punta Cana, Dominican Republic",earthquake,2.3,2.4,0,6,reviewed,pr,pr
2013-06-30T16:25:32.150Z,26.609,57.924,10,4.3,mb,33,57,,1.05,us,usb000i3sy,2014-11-07T01:51:08.414Z,"101 km SE of M?n?b, Iran",earthquake,,1.9,,19,reviewed,us,us
2013-06-30T15:57:21.270Z,35.4006667,-84.4068333,23.21,2.5,md,23,94,0.08426,0.12,se,se610195,2016-04-07T19:10:30.160Z,"7 km ESE of Englewood, Tennessee",earthquake,0.3,0.5,0.104,8,reviewed,se,se
2013-06-30T15:41:10.764Z,58.4045,-154.7762,111.2,2.1,ml,,,,0.4,ak,ak0138blg4n8,2019-05-15T23:32:14.746Z,"94 km NNW of Karluk, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2013-06-30T15:34:00.800Z,19.0692,-67.8072,42,3.3,Md,16,241.2,0.77524609,0.4,pr,pr13181002,2014-11-07T01:51:08.409Z,"82 km NE of Punta Cana, Dominican Republic",earthquake,3,8.7,0,12,reviewed,pr,pr
