time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-07-31T23:55:39.210Z,-41.552,174.393,17.6,4.2,ml,22,100,,,us,usb000it1l,2014-11-07T01:51:21.935Z,"36 km E of Blenheim, New Zealand",earthquake,,,,,reviewed,wel,wel
2013-07-31T23:47:48.770Z,40.5061667,-124.737,12.099,2.53,md,37,245,0.3063,0.17,nc,nc72041011,2017-02-01T06:37:36.874Z,"40 km W of Ferndale, California",earthquake,0.74,0.99,0.18,34,reviewed,nc,nc
2013-07-31T23:18:56.000Z,14.047,-92.649,17.7,4.1,mb,36,100,,,us,usb000iszk,2014-11-07T01:51:21.932Z,"70 km SW of Brisas Barra de Suchiate, Mexico",earthquake,,,,28,reviewed,unm,us
2013-07-31T23:10:11.480Z,-41.557,174.388,15.6,4.7,mb,40,100,,,us,usb000isyr,2015-01-30T17:55:11.611Z,"36 km E of Blenheim, New Zealand",earthquake,,,,9,reviewed,wel,us
2013-07-31T23:03:33.704Z,61.4586,-140.491,15.2,2,ml,,,,0.53,ak,ak0139qzn9cq,2019-05-15T23:47:37.068Z,"129 km E of McCarthy, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2013-07-31T22:59:00.518Z,60.6943,-151.9418,88,2,ml,,,,0.4,ak,ak0139qzdrab,2019-05-15T23:47:36.383Z,"35 km WNW of Salamatof, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2013-07-31T22:20:26.645Z,60.1913,-153.0219,116.4,2.2,ml,,,,0.45,ak,ak0139qz5gdk,2019-05-15T23:47:35.415Z,"71 km E of Port Alsworth, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2013-07-31T22:14:25.260Z,51.85,-171.546,25.7,2.8,ml,11,100,,,us,usb000it1u,2019-05-15T23:47:35.068Z,"186 km ESE of Atka, Alaska",earthquake,,,,,reviewed,aeic,aeic
2013-07-31T22:09:05.290Z,26.76,57.72,14.1,4,mb,17,100,,,us,usb000isw9,2014-11-07T01:51:21.925Z,"75 km ESE of M?n?b, Iran",earthquake,,,,12,reviewed,thr,us
2013-07-31T22:06:03.540Z,52.011,-170.375,25.5,2.8,ml,13,100,,,us,usb000it1t,2019-05-15T23:47:34.736Z,"145 km SW of Nikolski, Alaska",earthquake,,,,,reviewed,aeic,aeic
2013-07-31T21:36:24.400Z,19.236,-64.2478,8,2.9,Md,3,320.4,0.50934477,0.31,pr,pr13212007,2014-11-07T01:51:21.922Z,"115 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,3.1,1.8,0,3,reviewed,pr,pr
2013-07-31T21:09:09.210Z,19.0085,-155.492833333333,46.49,2.07,md,19,253,,0.11,hv,hv60535116,2021-04-20T03:48:03.440Z,"11 km SE of Naalehu, Hawaii",earthquake,1.17,0.9,0.0828879694121569,12,reviewed,hv,hv
2013-07-31T20:55:27.440Z,49.3976667,-120.5216667,-0.54,2.37,md,14,206,0.5972,0.44,uw,uw60561857,2016-07-22T19:14:13.650Z,"6 km S of Princeton, Canada",explosion,2.56,31.61,0.132,14,reviewed,uw,uw
2013-07-31T20:51:40.920Z,13.515,144.523,106.9,4.4,mb,41,45,,0.81,us,usb000it4i,2014-11-07T01:51:21.919Z,"19 km WNW of Piti Village, Guam",earthquake,,2.5,,29,reviewed,us,us
2013-07-31T20:45:30.730Z,-21.212,168.352,43.7,4.6,mb,16,143,,0.89,us,usb000izx7,2014-11-07T01:51:21.917Z,"61 km NE of Tadine, New Caledonia",earthquake,,6.7,,8,reviewed,us,us
2013-07-31T20:45:19.919Z,60.3317,-150.7939,46.4,2,ml,,,,0.7,ak,ak0139qy3xjr,2019-05-15T23:47:31.722Z,"19 km S of Funny River, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2013-07-31T20:09:45.500Z,19.0074,-66.7799,29,2.4,Md,6,306,0.62073586,0.11,pr,pr13212006,2013-07-31T20:36:44.849Z,"57 km N of Hatillo, Puerto Rico",earthquake,0.9,5.2,0,5,reviewed,pr,pr
2013-07-31T19:44:32.090Z,51.112,178.173,19.2,5.2,mb,444,125,,0.89,us,usb000isp1,2019-05-15T23:47:30.175Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,3.5,,382,reviewed,us,us
2013-07-31T19:43:08.900Z,19.4615,-154.9055,3.249,2.7,ml,12,175,,0.05,hv,hv60535101,2020-07-06T20:37:33.420Z,"1 km SE of Leilani Estates, Hawaii",earthquake,0.7,0.39,0.248,15,reviewed,hv,hv
2013-07-31T19:16:14.150Z,51.911,178.798,67.6,2.9,ml,15,100,,,us,usb000iuxc,2019-05-15T23:47:29.103Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,aeic,aeic
2013-07-31T18:53:35.120Z,-3.994,152.195,26.9,4.1,mb,7,221,,0.13,us,usb000izx3,2014-11-07T01:51:21.882Z,"23 km N of Rabaul, Papua New Guinea",earthquake,,40.8,,1,reviewed,us,us
2013-07-31T18:33:58.270Z,13.152,50.93,10,4.1,mb,10,103,,0.81,us,usb000izwz,2014-11-07T01:51:21.880Z,"132 km N of Caluula, Somalia",earthquake,,,,2,reviewed,us,us
2013-07-31T18:32:35.900Z,47.2543,-113.1523,17.9,2.7,Md,43,111.6,0.2173923,0.15,mb,mb13791116,2021-05-13T21:59:02.997Z,"26 km N of Ovando, Montana",earthquake,0.4,0.4,0.5,3,automatic,mb,mb
2013-07-31T18:16:24.400Z,18.7346,-66.3495,29,2.4,Md,13,219.6,0.30722383,0.27,pr,pr13212004,2013-07-31T19:13:29.665Z,"29 km N of Brenas, Puerto Rico",earthquake,1.2,3,0,12,reviewed,pr,pr
2013-07-31T18:14:10.700Z,19.1566,-64.779,54,3,Md,4,280.8,0.75099158,0.05,pr,pr13212005,2014-11-07T01:51:21.877Z,"91 km N of Cruz Bay, U.S. Virgin Islands",earthquake,2.6,5.3,0,3,reviewed,pr,pr
2013-07-31T18:10:52.060Z,-26.369,68.208,10,4.7,mb,33,73,,0.61,us,usb000izwv,2014-11-07T01:51:21.874Z,"Indian Ocean Triple Junction",earthquake,,,,21,reviewed,us,us
2013-07-31T18:03:44.060Z,40.3536667,-123.9888333,21.002,2.49,md,25,53,0.08288,0.13,nc,nc72040786,2017-02-01T06:35:44.840Z,"6 km SSW of Redcrest, California",earthquake,0.3,0.45,0.134,31,reviewed,nc,nc
2013-07-31T17:46:05.440Z,-41.781,174.334,16.6,4.7,mb,38,100,,,us,usb000isk1,2014-11-07T01:51:21.871Z,"43 km SE of Blenheim, New Zealand",earthquake,,,,12,reviewed,wel,us
2013-07-31T17:25:33.390Z,19.3088333,-155.2513333,6.767,2.09,ml,22,106,,0.05,hv,hv60535086,2020-07-06T20:37:16.200Z,"14 km S of Volcano, Hawaii",earthquake,0.4,1.09,0.124,14,reviewed,hv,hv
2013-07-31T16:51:27.970Z,37.914,-120.5106667,1.73,2.12,md,7,93,0.1063,0.02,nc,nc72040761,2017-02-01T06:35:27.138Z,"8 km NW of Chinese Camp, California",earthquake,1.03,5.25,0.28,5,reviewed,nc,nc
