time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-09-30T23:59:07.720Z,-16.713,176.419,33,4.7,mb,19,,,1.13,us,usp000a12n,2014-11-07T01:11:08.477Z,"148 km NW of Lautoka, Fiji",earthquake,,,,8,reviewed,us,us
2000-09-30T23:21:55.370Z,-34.05,-70.225,114.4,2.9,md,10,,,,us,usp000a12m,2014-11-07T01:11:08.475Z,"41 km ENE of Machalí, Chile",earthquake,,,,,reviewed,guc,guc
2000-09-30T22:07:27.915Z,54.5984,-161.7457,16.6,2,ml,,,,0.7,ak,ak000clie6s7,2020-02-20T20:25:44.084Z,"63 km SE of King Cove, Alaska",earthquake,,2,,,reviewed,ak,ak
2000-09-30T21:58:17.330Z,17.241,-94.334,175.3,4.1,mb,22,,,1.43,us,usp000a12k,2014-11-07T01:11:08.472Z,"5 km WSW of Helio García Alfaro, Mexico",earthquake,,9.4,,4,reviewed,us,us
2000-09-30T21:33:15.960Z,40.4128333,-125.1356667,4.125,2.75,md,20,275,0.7757,0.11,nc,nc21127911,2016-12-31T19:52:54.471Z,"76 km WSW of Ferndale, California",earthquake,2.96,11.87,0.09,7,reviewed,nc,nc
2000-09-30T21:23:10.720Z,-33.365,-70.125,4.3,3.5,md,8,,,,us,usp000a12j,2014-11-07T01:11:08.470Z,"43 km ENE of Villa Presidente Frei, Ñuñoa, Santiago, Chile, Chile",earthquake,,,,,reviewed,guc,guc
2000-09-30T21:07:25.990Z,18.117,-67.099,36.1,2.2,md,4,,,,us,usp000a12h,2014-11-07T01:11:08.469Z,"3 km NNE of Monte Grande, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2000-09-30T20:49:59.769Z,59.3564,-152.0742,55.5,2.1,ml,,,,0.48,ak,ak000clhge3s,2020-02-20T20:25:44.390Z,"8 km W of Nanwalek, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2000-09-30T20:42:58.490Z,27.458,126.747,154.8,4.7,mb,14,,,1.47,us,usp000a12f,2014-11-07T01:11:08.466Z,"154 km NW of Nago, Japan",earthquake,,15.5,,2,reviewed,us,us
2000-09-30T20:23:00.720Z,38.0861667,-118.9935,10.75,2.21,md,44,87,0.1514,0.09,nc,nc21127909,2018-04-24T22:33:00.515Z,"14 km ENE of Mono City, California",earthquake,0.21,0.96,0.21,33,reviewed,nc,nc
