time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-05-31T23:56:39.250Z,9.4091,126.5072,10,4.8,mb,,108,2.499,0.89,us,usc000r9n5,2014-08-26T01:21:08.000Z,"37 km ENE of Cortes, Philippines",earthquake,,1.8,0.069,65,reviewed,us,us
2014-05-31T23:52:24.400Z,44.786,-110.766,4.4,2.2,Ml,,104.4,0.06288207,0.15,uu,uu60070742,2014-06-02T14:53:59.595Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.5,0.6,0.4,5,reviewed,uu,uu
2014-05-31T23:17:40.310Z,9.313,126.5161,10,4.9,mb,,46,2.414,0.84,us,usc000r9mt,2014-08-26T01:21:08.000Z,"35 km E of Cortes, Philippines",earthquake,,1.8,0.054,108,reviewed,us,us
2014-05-31T23:08:30.657Z,51.7262,-175.4261,50.5,2,ml,,,,0.18,ak,ak0146y3w5kp,2019-05-21T00:28:54.402Z,"84 km ESE of Adak, Alaska",earthquake,,2.2,,,reviewed,ak,ak
2014-05-31T22:57:26.830Z,5.675,126.7911,58.08,4.3,mb,,134,1.836,0.92,us,usc000rh9f,2014-08-26T01:21:08.000Z,"101 km SE of Pondaguitan, Philippines",earthquake,,8.5,0.129,17,reviewed,us,us
2014-05-31T22:25:00.600Z,44.7905,-110.7765,4.7,3.5,Ml,,111.6,0.05389892,0.21,uu,uu60070727,2014-08-26T01:21:08.000Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.5,0.7,0.2,6,reviewed,uu,uu
2014-05-31T22:24:57.900Z,44.7923,-110.767,4.1,2.1,Ml,,104.4,0.06288207,0.11,uu,uu60005110,2014-06-02T16:54:51.655Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.5,0.7,0.4,2,reviewed,uu,uu
2014-05-31T22:08:31.000Z,34.92,25.85,5,4.3,mwr,,,,1.62,us,usc000r9m4,2014-08-26T01:21:08.000Z,"14 km SE of Ierápetra, Greece",earthquake,,4.2,0.086,13,reviewed,the,us
2014-05-31T21:57:09.510Z,9.4262,126.5518,10,4.6,mb,,106,2.531,0.87,us,usc000rh9d,2014-08-26T01:21:07.000Z,"42 km ENE of Cortes, Philippines",earthquake,,1.4,0.07,60,reviewed,us,us
2014-05-31T21:49:06.270Z,9.5041,126.5895,10,4.6,mb,,94,2.617,0.76,us,usc000r9ly,2014-08-26T01:21:07.000Z,"50 km ENE of Cortes, Philippines",earthquake,,1.9,0.102,29,reviewed,us,us
2014-05-31T21:45:06.140Z,52.2714,177.7203,148.02,4.5,mb,,103,2.226,0.72,us,usc000r9lt,2021-02-18T20:08:16.520Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,5.5,0.047,133,reviewed,us,us
2014-05-31T21:17:54.270Z,59.5438,-152.7442,76,2.5,ml,,,,0.49,ak,ak0146y2r9mr,2019-05-21T00:28:52.149Z,"51 km WNW of Nanwalek, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2014-05-31T21:10:52.190Z,49.3823333,-120.4795,-0.54,2.18,md,7,203,0.568,0.63,uw,uw60797811,2016-07-22T19:29:29.090Z,"8 km SSE of Princeton, Canada",explosion,3.11,31.61,0.055,5,reviewed,uw,uw
