time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-30T23:59:51.262Z,61.4788,-150.0051,36.2,2.8,ml,,,,0.33,ak,ak20420560,2021-03-10T00:18:34.822Z,"5 km SSW of Big Lake, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2018-11-30T23:59:51.262Z,61.4788,-150.0051,36.2,2.8,ml,,,,0.33,ak,ak018fcrjn1y,2021-02-19T19:11:50.978Z,"5 km SSW of Big Lake, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2018-11-30T23:56:52.656Z,61.4287,-150.0783,50.9,2.1,ml,,,,0.78,ak,ak018fcrj00h,2019-07-01T19:33:14.025Z,"9 km NW of Point MacKenzie, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2018-11-30T23:56:30.543Z,61.3768,-150.0032,45.2,2,ml,,,,0.64,ak,ak018fcriyb2,2019-07-01T19:33:13.670Z,"2 km NW of Point MacKenzie, Alaska",earthquake,,1,,,reviewed,ak,ak
2018-11-30T23:56:05.550Z,37.3583,-97.9744,5.8,3.2,mb_lg,,90,0.063,0.36,us,us1000hyzg,2019-02-09T19:02:14.040Z,"9 km NNE of Harper, Kansas",earthquake,1.6,2.1,0.064,64,reviewed,us,us
2018-11-30T23:51:02.343Z,61.3554,-150.0014,36.5,3.7,ml,,,,0.53,ak,ak018fcrhtju,2019-06-17T01:14:13.733Z,"1 km WSW of Point MacKenzie, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2018-11-30T23:50:04.657Z,61.4825,-149.925,35,3.4,ml,,,,0.39,ak,ak018fcrhm0h,2019-07-01T19:33:12.949Z,"4 km SSE of Big Lake, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2018-11-30T23:48:56.887Z,61.4264,-150.0611,42.4,2,ml,,,,0.72,ak,ak018fcrham0,2019-07-01T19:33:12.548Z,"8 km NNW of Point MacKenzie, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2018-11-30T23:48:09.982Z,61.3871,-150.0383,39.8,2.1,ml,,,,0.47,ak,ak018fcrh6zq,2019-07-01T19:33:12.145Z,"4 km NW of Point MacKenzie, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2018-11-30T23:45:40.720Z,61.4904,-149.9046,30.9,3.1,ml,,,,0.42,ak,ak018fcrgm7s,2019-07-01T19:33:11.399Z,"4 km SE of Big Lake, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2018-11-30T23:43:13.092Z,61.4321,-149.9079,32.3,2.5,ml,,,,0.53,ak,ak018fcrg4nh,2019-07-01T19:33:11.000Z,"8 km NNE of Point MacKenzie, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2018-11-30T23:42:19.850Z,61.4658,-149.9451,31.8,2.4,ml,,,,0.52,ak,ak018fcrfxgh,2019-07-01T19:33:10.261Z,"6 km S of Big Lake, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2018-11-30T23:41:37.151Z,61.3759,-150.0584,34.7,2.3,ml,,,,0.5,ak,ak018fcrfr2r,2019-07-01T19:33:09.869Z,"4 km WNW of Point MacKenzie, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2018-11-30T23:40:30.868Z,61.3736,-150.074,38.2,2.3,ml,,,,0.55,ak,ak018fcrfivi,2019-07-01T19:33:09.507Z,"5 km WNW of Point MacKenzie, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2018-11-30T23:39:00.892Z,61.3811,-150.118,42.4,2.5,ml,,,,0.41,ak,ak018fcrf8uh,2019-07-01T19:33:09.148Z,"7 km WNW of Point MacKenzie, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2018-11-30T23:38:54.461Z,61.3705,-149.9904,34.4,2.5,ml,,,,0.31,ak,ak20420537,2018-11-30T23:44:29.164Z,"1 km NNW of Point MacKenzie, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-30T23:35:17.492Z,61.4284,-150.0359,33.8,2.3,ml,,,,0.45,ak,ak018fcref9h,2019-07-01T19:33:08.486Z,"8 km NNW of Point MacKenzie, Alaska",earthquake,,1,,,reviewed,ak,ak
2018-11-30T23:31:42.488Z,61.2736,-149.9306,38.8,2.5,ml,,,,0.65,ak,ak018fcrdmbs,2019-07-01T19:33:08.105Z,"6 km NNW of Anchorage, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2018-11-30T23:30:52.074Z,61.505,-149.8891,31.5,2.5,ml,,,,0.43,ak,ak018fcrdfcn,2019-07-01T19:33:07.724Z,"3 km ESE of Big Lake, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2018-11-30T23:29:33.227Z,61.3579,-150.154,32.7,2.7,ml,,,,0.53,ak,ak018fcrd66i,2019-07-01T19:33:07.315Z,"9 km W of Point MacKenzie, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2018-11-30T23:28:50.219Z,61.4386,-150.0035,43.8,2.6,ml,,,,0.44,ak,ak018fcrczrx,2019-07-01T19:33:06.970Z,"8 km N of Point MacKenzie, Alaska",earthquake,,2.1,,,reviewed,ak,ak
2018-11-30T23:28:33.272Z,61.2475,-150.0411,31.3,2.6,ml,,,,0.6,ak,ak018fcrcygv,2019-07-01T19:33:06.614Z,"8 km WNW of Anchorage, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2018-11-30T23:25:44.203Z,61.4859,-149.9416,30.8,2.3,ml,,,,0.64,ak,ak018fcrcc5w,2019-07-01T19:33:05.890Z,"4 km S of Big Lake, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2018-11-30T23:24:31.274Z,61.4162,-150.0844,42.8,2.8,ml,,,,0.51,ak,ak018fcrc3g7,2019-07-01T19:33:04.440Z,"8 km NW of Point MacKenzie, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2018-11-30T23:23:49.362Z,61.4494,-149.9655,40.5,2.6,ml,,,,0.48,ak,ak018fcrbx4o,2019-07-01T19:33:03.833Z,"8 km S of Big Lake, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2018-11-30T23:21:03.559Z,61.4895,-149.9453,37.7,2.8,ml,,,,0.47,ak,ak018fcrbe5v,2019-07-01T19:33:03.077Z,"3 km S of Big Lake, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2018-11-30T23:20:08.619Z,61.4298,-150.0625,36.4,2.4,ml,,,,0.61,ak,ak018fcrb6u5,2019-07-01T19:33:02.676Z,"9 km NNW of Point MacKenzie, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2018-11-30T23:19:45.132Z,61.457,-149.9977,42.8,2.1,ml,,,,0.45,ak,ak018fcrb1xt,2019-07-01T19:33:02.346Z,"7 km SSW of Big Lake, Alaska",earthquake,,2.1,,,reviewed,ak,ak
2018-11-30T23:18:18.356Z,61.3936,-149.8584,50,2.4,ml,,,,0.28,ak,ak018fcras5n,2019-07-01T19:33:01.984Z,"Southern Alaska",earthquake,,1.8,,,reviewed,ak,ak
2018-11-30T23:16:46.982Z,61.4346,-150.0921,30.4,2.4,ml,,,,0.49,ak,ak018fcraexm,2019-07-01T19:33:01.620Z,"10 km NW of Point MacKenzie, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2018-11-30T23:15:39.040Z,61.5049,-149.9474,33.3,2.9,ml,,,,0.4,ak,ak018fcra6ls,2019-07-01T19:33:01.280Z,"1 km SSE of Big Lake, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2018-11-30T23:14:01.343Z,61.4969,-149.9365,38.9,3.4,ml,,,,0.35,ak,ak018fcr9vza,2019-07-01T19:33:00.866Z,"2 km SSE of Big Lake, Alaska",earthquake,,1.5,,,reviewed,ak,ak
