time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-09-30T23:55:50.850Z,46.2016667,-122.1896667,-1.07,2.8,md,9,89,0.001595,0.04,uw,uw10651848,2016-07-23T02:27:50.850Z,"38 km NNE of Amboy, Washington",earthquake,0.106,0.06,0.03,4,reviewed,uw,uw
2004-09-30T23:55:48.340Z,39.5016667,-122.9533333,4.228,2.54,md,28,50,0.01802,0.14,nc,nc21402211,2017-01-09T00:03:55.076Z,"24 km NE of Potter Valley, California",earthquake,0.24,2.11,0.13,21,automatic,nc,nc
2004-09-30T23:53:26.390Z,46.1981667,-122.191,-0.728,2.5,md,14,66,0.002063,0.08,uw,uw10651828,2016-07-23T02:27:50.420Z,"37 km NNE of Amboy, Washington",earthquake,0.234,0.17,0.04,4,reviewed,uw,uw
2004-09-30T23:50:45.650Z,46.2,-122.1915,-0.408,3,md,14,55,0.0006595,0.06,uw,uw10651818,2016-07-23T02:27:49.900Z,"37 km NNE of Amboy, Washington",earthquake,0.184,0.16,0.03,6,reviewed,uw,uw
2004-09-30T23:49:02.790Z,35.2336667,-120.7791667,2.989,2.29,md,14,100,0.001802,0.04,nc,nc68011630,2017-01-09T00:03:50.885Z,"7 km NW of Avila Beach, California",earthquake,0.23,0.38,0.14,11,reviewed,nc,nc
2004-09-30T23:39:22.590Z,46.2001667,-122.1891667,-1.028,2.6,md,15,70,0.0009965,0.08,uw,uw10651773,2016-07-23T02:27:49.460Z,"37 km NNE of Amboy, Washington",earthquake,0.234,0.2,0.04,5,reviewed,uw,uw
2004-09-30T23:34:12.560Z,46.2011667,-122.1915,-0.728,3.2,md,14,56,0.001143,0.05,uw,uw10651743,2016-07-23T02:27:48.960Z,"37 km NNE of Amboy, Washington",earthquake,0.149,0.13,0.04,4,reviewed,uw,uw
2004-09-30T23:31:42.260Z,63.5223,-147.9087,11.9,2.2,ml,,,,0.75,ak,ak004clj4soi,2019-02-13T01:48:41.123Z,"53 km ENE of Cantwell, Alaska",earthquake,,2,,,reviewed,ak,ak
2004-09-30T23:30:20.100Z,37.41,21.07,10,3.4,md,4,219.5,,,us,usp000d5em,2014-11-07T01:23:35.593Z,"40 km SSE of Lithakiá, Greece",earthquake,,,,,reviewed,ath,ath
2004-09-30T23:22:45.790Z,1.377,125.784,84.8,4.4,mb,20,160.4,,0.94,us,usp000d5ek,2014-11-07T01:23:35.591Z,"90 km E of Laikit, Laikit II (Dimembe), Indonesia",earthquake,,37.7,,9,reviewed,us,us
