time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-11-30T23:34:01.000Z,16.955,-100.253,5,3.3,md,4,,,,us,usp000atsj,2014-11-07T01:14:20.350Z,"8 km S of El Papayo, Mexico",earthquake,,,,,reviewed,unm,unm
2001-11-30T23:21:49.210Z,44.155,-7.49,1.8,2.6,mblg,5,,,,us,usp000atsh,2014-11-07T01:14:20.349Z,"54 km N of Cervo, Spain",earthquake,,,,,reviewed,mdd,mdd
2001-11-30T23:19:32.620Z,-32.042,-178.806,10,5.1,mb,10,,,1.28,us,usp000atsg,2014-11-07T01:14:20.347Z,"south of the Kermadec Islands",earthquake,,,,1,reviewed,us,us
2001-11-30T22:59:37.020Z,27.542,-17.859,0,2.5,mblg,5,,,,us,usp000atsf,2014-11-07T01:14:20.346Z,"27 km SSE of Frontera, Spain",earthquake,,,,,reviewed,mdd,mdd
2001-11-30T22:57:35.698Z,62.3539,-149.564,47.3,2.4,ml,,,,0.65,ak,ak001fcqxqtd,2020-02-20T21:11:11.023Z,"26 km NE of Susitna North, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2001-11-30T22:52:05.950Z,-29.992,-66.948,151.7,3.8,md,18,,,0.98,us,usp000atse,2014-11-07T01:14:20.344Z,"65 km S of La Rioja, Argentina",earthquake,,34.7,,,reviewed,us,guc
2001-11-30T22:39:47.170Z,28.889,139.589,425.4,4,mb,11,,,0.56,us,usp000atsc,2014-11-07T01:14:20.341Z,"Bonin Islands, Japan region",earthquake,,12.4,,1,reviewed,us,us
2001-11-30T22:33:17.300Z,-40.44,176.99,12,3.7,ml,10,,,,us,usp000atsb,2014-11-07T01:14:20.340Z,"82 km NE of Castlepoint, New Zealand",earthquake,,,,,reviewed,wel,wel
2001-11-30T22:32:38.200Z,-32.54,-69.997,125,3.5,md,5,,,,us,usp000atsa,2014-11-07T01:14:20.338Z,"65 km ENE of Los Andes, Chile",earthquake,,,,,reviewed,guc,guc
2001-11-30T21:46:04.570Z,29.327,81.638,33,4.7,mb,37,,,0.81,us,usp000ats9,2014-11-07T01:14:20.335Z,"53 km W of Jumla, Nepal",earthquake,,,,16,reviewed,us,us
2001-11-30T21:28:28.410Z,19.9878333,-155.5456667,5.132,3,ml,40,135,,0.14,hv,hv5192781,2020-03-31T21:43:33.890Z,"13 km SW of Honoka‘a, Hawaii",earthquake,0.57,0.68,0.21,19,reviewed,hv,hv
