time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2002-11-30T23:45:41.480Z,62.4938,-151.2363,82.9,2.4,ml,,,,0.51,ak,ak002fcrgm9w,2019-02-12T19:32:58.000Z,"Central Alaska",earthquake,,0.8,,,reviewed,ak,ak
2002-11-30T23:37:27.800Z,44.641,6.751,2,2.1,ml,14,,,,us,usp000bjtg,2014-11-07T01:17:13.068Z,"8 km ESE of Guillestre, France",earthquake,,,,,reviewed,ldg,str
2002-11-30T23:23:45.140Z,-20.592,-179.161,699,4.4,mb,34,,,0.82,us,usp000bjtf,2014-11-07T01:17:13.064Z,"Fiji region",earthquake,,6.1,,9,reviewed,us,us
2002-11-30T23:21:19.954Z,60.242,-150.9667,50.1,2.4,ml,,,,0.25,ak,ak002fcrbfff,2019-02-12T19:33:27.432Z,"20 km ESE of Kasilof, Alaska",earthquake,,5.5,,,reviewed,ak,ak
2002-11-30T23:20:59.489Z,63.0041,-144.0562,1.8,3,ml,,,,0.9,ak,ak002fcrbarg,2019-02-12T19:32:57.277Z,"17 km WNW of Mentasta Lake, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2002-11-30T23:14:15.183Z,63.3145,-144.9005,1,2,ml,,,,0.73,ak,ak002fcr9x1q,2019-02-12T19:32:55.929Z,"39 km SSW of Dry Creek, Alaska",earthquake,,0,,,reviewed,ak,ak
2002-11-30T23:13:10.140Z,-35.313,179.74,33,4.9,mb,20,,,1.17,us,usp000bjte,2014-11-07T01:17:13.060Z,"off the east coast of the North Island of New Zealand",earthquake,,,,8,reviewed,us,us
2002-11-30T23:04:21.250Z,-5.447,131.138,33,4.6,mb,32,,,0.79,us,usp000bjtd,2014-11-07T01:17:13.048Z,"179 km W of Tual, Indonesia",earthquake,,,,12,reviewed,us,us
2002-11-30T23:01:25.700Z,62.8963,-143.7625,7.8,2.9,ml,,,,0.8,ak,ak002fcr75ju,2019-02-12T19:32:54.629Z,"Central Alaska",earthquake,,0.7,,,reviewed,ak,ak
2002-11-30T22:59:25.500Z,41.704,14.815,10.3,2.7,md,11,,,,us,usp000bjtc,2014-11-07T01:17:13.046Z,"1 km NNE of Ripabottoni, Italy",earthquake,,,,,reviewed,rom,rom
2002-11-30T22:54:01.890Z,39.114,-28.533,10,5.1,mwc,52,,,0.97,us,usp000bjtb,2022-05-02T16:18:27.782Z,"45 km W of Santa Cruz da Graciosa, Portugal",earthquake,,,,,reviewed,us,hrv
2002-11-30T22:53:11.420Z,39.164,-28.551,10,4.7,mb,84,,,0.88,us,usp000bjta,2014-11-07T01:17:13.033Z,"47 km W of Santa Cruz da Graciosa, Portugal",earthquake,,,,45,reviewed,us,us
2002-11-30T22:49:47.696Z,63.5152,-147.1632,1,2.5,ml,,,,0.76,ak,ak002fcqw20h,2019-02-12T19:32:53.936Z,"90 km ESE of McKinley Park, Alaska",earthquake,,0,,,reviewed,ak,ak
2002-11-30T22:33:44.760Z,-4.065,134.227,33,4.6,mb,11,,,0.91,us,usp000bjt9,2014-11-07T01:17:13.031Z,"161 km WSW of Nabire, Indonesia",earthquake,,,,4,reviewed,us,us
2002-11-30T22:31:14.600Z,38.8233333,-122.8033333,-0.72,2.2,md,9,72,0.01712,0.03,nc,nc21258121,2017-01-03T08:47:09.260Z,"6 km W of Cobb, California",earthquake,0.38,0.96,0.03,5,reviewed,nc,nc
2002-11-30T22:22:41.089Z,63.3713,-144.5362,1,2.8,ml,,,,1.19,ak,ak002fcqq964,2019-02-12T19:32:52.590Z,"32 km SSE of Dry Creek, Alaska",earthquake,,0,,,reviewed,ak,ak
2002-11-30T22:07:15.456Z,63.4729,-147.9327,2.5,2.1,ml,,,,0.64,ak,ak002fcqmzg9,2019-02-12T19:32:51.911Z,"51 km E of Cantwell, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2002-11-30T22:01:32.700Z,-34.737,-72.401,9,3.4,md,5,,,,us,usp000bjt8,2014-11-07T01:17:13.030Z,"66 km N of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2002-11-30T21:56:24.457Z,37.3845,-117.0788,5.7,2.3,ml,32,108.76,0.167,0.1067,nn,nn00059936,2018-04-24T22:06:25.612Z,"38 km SSE of Goldfield, Nevada",earthquake,,2.1,,,reviewed,nn,nn
2002-11-30T21:55:46.790Z,-15.21,167.495,127.4,4.6,mb,22,,,0.73,us,usp000bjt7,2014-11-07T01:17:13.027Z,"49 km ESE of Port-Olry, Vanuatu",earthquake,,10,,4,reviewed,us,us
