time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-05-31T23:59:11.270Z,59.9813,-153.1254,109.3,2.7,ml,,,,0.62,ak,ak0096y471lj,2019-02-13T11:59:20.446Z,"59 km ENE of Pedro Bay, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2009-05-31T23:29:39.450Z,19.01,-65.957,13,3.3,md,11,252,,,us,usp000gxr5,2014-11-07T01:39:02.433Z,"62 km NNE of San Juan, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2009-05-31T17:54:40.683Z,59.8844,-153.3585,144.8,2,ml,,,,0.66,ak,ak0096y0lfno,2019-02-13T11:59:26.126Z,"43 km ENE of Pedro Bay, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2009-05-31T17:47:39.190Z,36.385,-117.8341667,-0.07,3,ml,36,49,0.167,0.24,ci,ci14466088,2016-03-09T17:13:13.745Z,"19km NE of Olancha, CA",earthquake,0.32,0.83,0.118,187,reviewed,ci,ci
2009-05-31T16:40:38.440Z,-15.023,-172.886,10,4.5,mb,17,124.1,,0.78,us,usp000gxr3,2014-11-07T01:39:02.429Z,"141 km NE of Hihifo, Tonga",earthquake,,,,3,reviewed,us,us
2009-05-31T16:14:30.760Z,-16.21,178.282,22.5,5,mwc,89,120.9,,0.68,us,usp000gxr2,2022-05-02T20:28:02.035Z,"118 km WNW of Labasa, Fiji",earthquake,,,,,reviewed,us,gcmt
2009-05-31T15:33:04.250Z,37.819,141.547,61.3,5,mb,129,116.5,,0.71,us,usp000gxr1,2014-11-07T01:39:02.409Z,"60 km NE of Namie, Japan",earthquake,,,,78,reviewed,us,us
2009-05-31T15:27:09.566Z,59.8193,-152.4579,86.5,2,ml,,,,0.71,ak,ak0096xz8ppo,2019-02-13T11:59:16.829Z,"35 km W of Anchor Point, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2009-05-31T14:40:09.900Z,-29.755,-71.177,34.5,4,ml,13,179.3,,,us,usp000gxr0,2014-11-07T01:39:02.407Z,"Near the coast of Coquimbo, Chile",earthquake,,,,,reviewed,guc,guc
2009-05-31T14:31:04.490Z,-39.044,175.722,6.2,3.8,ml,25,78.8,,,us,usp000gxqz,2014-11-07T01:39:02.363Z,"9 km SW of Turangi, New Zealand",earthquake,,,,,reviewed,wel,wel
2009-05-31T13:39:22.790Z,33.2566667,-115.9853333,4.456,2.38,ml,65,24,0.02337,0.22,ci,ci14466016,2016-03-09T17:13:07.939Z,"5km SSW of Salton City, CA",earthquake,0.26,0.61,0.166,155,reviewed,ci,ci
2009-05-31T13:27:30.630Z,60.935,-140.139,3.8,2.7,ml,24,87.8,,,us,usp000gxqy,2019-02-13T11:59:56.422Z,"144 km W of Haines Junction, Canada",earthquake,,,,,reviewed,aeic,aeic
2009-05-31T12:27:44.720Z,36.0895,-89.7733333,8.71,2.2,md,30,59,0.0653,0.08,nm,nm606965,2016-04-08T16:11:30.230Z,"5 km E of Steele, Missouri",earthquake,0.3,1.3,0.098,4,reviewed,nm,nm
2009-05-31T11:34:49.170Z,53.776,-164.601,46.5,2.3,ml,,,,0.19,ak,ak0096xwwkd1,2019-02-13T11:59:24.784Z,"86 km ESE of Akutan, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2009-05-31T11:32:56.575Z,56.3232,-157.134,11.4,2.2,ml,,,,0.75,ak,ak0096xww5i1,2019-02-13T11:59:24.438Z,"78 km E of Chignik, Alaska",earthquake,,1,,,reviewed,ak,ak
2009-05-31T10:58:29.200Z,-42.776,-72.558,10,4.4,mb,15,140,,1.26,us,usp000gxqx,2014-11-07T01:39:02.358Z,"19 km NE of Chaitén, Chile",earthquake,,,,5,reviewed,us,us
2009-05-31T10:36:10.770Z,37.1876667,-113.3868333,3.43,2.04,ml,8,156,0.3628,0.19,uu,uu50383235,2018-08-29T00:07:59.720Z,"6 km SSW of Leeds, Utah",earthquake,0.7,2.44,,2,reviewed,uu,uu
2009-05-31T10:12:15.062Z,51.8625,-177.9243,1.5,2.4,ml,,,,0.82,ak,ak0096xw6cde,2019-02-13T11:59:23.821Z,"88 km W of Adak, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2009-05-31T10:10:30.520Z,51.858,-177.909,4.8,2.6,ml,11,151.1,,,us,usp000gxqw,2019-02-13T11:59:15.097Z,"87 km W of Adak, Alaska",earthquake,,,,,reviewed,aeic,aeic
2009-05-31T09:56:48.190Z,2.363,-95.988,10,4.2,mb,31,204,,1.21,us,usp000gxqv,2014-11-07T01:39:02.353Z,"Galapagos Islands, Ecuador region",earthquake,,,,20,reviewed,us,us
2009-05-31T09:27:47.950Z,52.266,158.947,70.1,4.7,mb,107,103.7,,0.81,us,usp000gxqu,2014-11-07T01:39:02.342Z,"82 km SSE of Vilyuchinsk, Russia",earthquake,,6,,56,reviewed,us,us
2009-05-31T09:17:49.620Z,53.761,-164.117,26.2,2.5,ml,11,231.8,,,us,usp000gxqt,2019-02-13T11:59:23.502Z,"116 km ESE of Akutan, Alaska",earthquake,,,,,reviewed,aeic,aeic
2009-05-31T09:03:24.100Z,53.751,-164.123,19.9,3.5,ml,20,208.8,,,us,usp000gxqs,2019-02-28T21:42:18.533Z,"116 km ESE of Akutan, Alaska",earthquake,,,,,reviewed,aeic,aeic
2009-05-31T09:00:38.640Z,-47.048,-10.858,10,4.7,mb,42,76.3,,1.12,us,usp000gxqr,2014-11-07T01:39:02.334Z,"southern Mid-Atlantic Ridge",earthquake,,,,13,reviewed,us,us
2009-05-31T07:51:29.235Z,52.7788,-168.1689,25.5,2.1,ml,,,,0.36,ak,ak0096xumfkr,2019-02-13T11:59:23.198Z,"49 km ESE of Nikolski, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2009-05-31T07:35:28.400Z,10.626,-86.105,33,4.4,mb,45,176.2,,1.23,us,usp000gxqq,2014-11-07T01:39:02.330Z,"51 km WNW of Sardinal, Costa Rica",earthquake,,,,19,reviewed,us,us
2009-05-31T07:30:03.660Z,1.946,127.655,35,4.5,mb,27,110.9,,1.16,us,usp000gxqp,2014-11-07T01:39:02.327Z,"46 km WNW of Tobelo, Indonesia",earthquake,,,,12,reviewed,us,us
2009-05-31T06:16:59.010Z,-42.899,-72.438,10,4.2,mb,17,138.5,,0.9,us,usp000gxqn,2014-11-07T01:39:02.325Z,"21 km E of Chaitén, Chile",earthquake,,,,4,reviewed,us,us
2009-05-31T06:01:17.570Z,32.6046667,-115.6608333,19.713,2.03,ml,44,179,0.07101,0.48,ci,ci14465840,2016-03-09T00:25:42.958Z,"8km WNW of Progreso, B.C., MX",earthquake,1.37,0.92,0.198,74,reviewed,ci,ci
2009-05-31T05:59:09.540Z,46.6661667,-122.137,21.44,2.1,md,31,41,0.1071,0.16,uw,uw10781963,2016-07-13T23:36:14.890Z,"6 km SSE of Mineral, Washington",earthquake,0.325,0.69,0.03,15,reviewed,uw,uw
2009-05-31T05:31:28.060Z,-10.054,160.975,32.9,4.6,mb,18,106.1,,0.76,us,usp000gxqm,2014-11-07T01:39:02.322Z,"112 km WNW of Kirakira, Solomon Islands",earthquake,,23.1,,4,reviewed,us,us
2009-05-31T05:10:12.220Z,39.6301667,-123.4116667,4.17,2.33,md,27,88,0.01351,0.08,nc,nc51222443,2017-01-20T08:53:30.190Z,"8 km SE of Laytonville, California",earthquake,0.18,0.31,0.162,36,reviewed,nc,nc
2009-05-31T04:33:14.419Z,59.7044,-153.3966,124.8,2.1,ml,,,,0.63,ak,ak0096xsq8q9,2019-02-13T11:59:22.521Z,"Southern Alaska",earthquake,,0.4,,,reviewed,ak,ak
2009-05-31T04:31:01.914Z,59.9159,-151.6908,46.4,2.1,ml,,,,0.59,ak,ak0096xspsbz,2019-02-13T11:59:11.402Z,"4 km SSE of Happy Valley, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2009-05-31T03:34:28.950Z,1.788,125.912,90.8,4.8,mwc,151,46.5,,0.89,us,usp000gxqk,2016-11-10T02:12:40.670Z,"109 km ENE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,,8.8,,,reviewed,us,gcmt
2009-05-31T02:54:25.043Z,60.8072,-150.8965,51.6,3.5,ml,,,,0.83,ak,ak0096xrnwdk,2019-02-13T11:59:09.745Z,"17 km SW of Point Possession, Alaska",earthquake,,0,,,reviewed,ak,ak
2009-05-31T02:53:54.250Z,36.3941667,-117.8375,-0.34,2.22,ml,35,51,0.1584,0.22,ci,ci14465776,2018-06-13T20:39:05.760Z,"20km NE of Olancha, CA",earthquake,0.35,0.78,0.161,47,reviewed,ci,ci
2009-05-31T02:24:01.550Z,51.21,-178.214,15.4,3.2,ml,13,264.7,,,us,usp000gxqh,2019-02-13T11:59:09.424Z,"132 km SW of Adak, Alaska",earthquake,,,,,reviewed,aeic,aeic
2009-05-31T02:10:17.150Z,15.43,-86.297,10,4.1,mb,22,99,,1.18,us,usp000gxqg,2014-11-07T01:39:02.300Z,"2 km NE of Tepusteca, Honduras",earthquake,,,,7,reviewed,us,us
2009-05-31T01:55:27.220Z,19.3505,-155.3233333,25.2,3.29,md,54,48,,0.1,hv,hv60086751,2021-03-01T21:48:18.237Z,"13 km SW of Volcano, Hawaii",earthquake,0.42,0.53,0.086,28,reviewed,hv,hv
2009-05-31T01:21:07.156Z,57.1504,-157.1469,12.4,2.3,ml,,,,0.39,ak,ak0096xqvcrf,2019-02-13T11:59:21.222Z,"43 km SSE of Ugashik, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2009-05-31T01:17:04.370Z,33.2466667,-116.2795,12.413,2.02,ml,57,26,0.1173,0.25,ci,ci14465768,2016-03-08T23:00:12.067Z,"9km E of Borrego Springs, CA",earthquake,0.33,0.73,0.176,93,reviewed,ci,ci
2009-05-31T00:47:02.280Z,4.548,-32.571,10,4.9,mwc,108,51.1,,0.88,us,usp000gxqe,2016-11-10T02:12:40.168Z,"central Mid-Atlantic Ridge",earthquake,,,,,reviewed,us,gcmt
2009-05-31T00:01:16.181Z,53.9512,-163.9893,14.2,2.3,ml,,,,0.27,ak,ak0096xq5nj6,2019-02-28T21:42:17.424Z,"107 km SSW of False Pass, Alaska",earthquake,,1,,,reviewed,ak,ak
2009-05-30T23:10:04.980Z,51.101,179.689,15.1,3.5,ml,18,225.2,,,us,usp000gxqd,2019-02-13T11:59:07.175Z,"269 km WSW of Adak, Alaska",earthquake,,,,,reviewed,aeic,aeic
2009-05-30T22:52:20.850Z,18.605,-63.992,38.3,2.8,md,4,351.7,,,us,usp000gxqc,2014-11-07T01:39:02.287Z,"89 km ENE of Cruz Bay, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2009-05-30T22:52:11.447Z,40.139,-119.6815,12.5,2,ml,18,111.32,0.223,0.1377,nn,nn00284877,2018-06-13T20:39:04.072Z,"22 km NNW of Sutcliffe, Nevada",earthquake,,2.1,0.47,4,reviewed,nn,nn
2009-05-30T22:43:22.180Z,39.4056667,-111.0713333,1.54,2.13,md,10,80,0.09333,0.12,uu,uu50383220,2018-08-29T00:07:57.750Z,"10 km SSW of Hiawatha, Utah",earthquake,0.51,9.77,,7,reviewed,uu,uu
2009-05-30T21:57:44.836Z,54.8792,-158.0808,29.2,2.8,ml,,,,0.5,ak,ak0096wfgh1v,2019-02-13T11:59:06.540Z,"133 km SSE of Perryville, Alaska",earthquake,,44.8,,,reviewed,ak,ak
2009-05-30T21:15:44.030Z,40.6915,-121.4911667,8.974,2.42,md,16,138,0.127,0.06,nc,nc51222424,2017-01-20T08:51:52.810Z,"5 km WNW of Old Station, California",earthquake,0.34,1.2,0.183,23,reviewed,nc,nc
2009-05-30T20:15:04.680Z,6.776,126.464,55.2,4.8,mb,83,77,,0.93,us,usp000gxqa,2014-11-07T01:39:02.277Z,"18 km SE of Bobon, Philippines",earthquake,,,,35,reviewed,us,us
