time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-04-30T23:52:55.185Z,63.2194,-144.8407,1.8,2,ml,,,,0.63,ak,ak0115iuhvny,2018-07-06T23:13:03.172Z,"41 km ENE of Paxson, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2011-04-30T23:45:46.490Z,19.241,-109.156,10,4,mb,94,230.7,,0.97,us,usp000j0ud,2014-11-07T01:44:39.707Z,"Revilla Gigedo Islands region",earthquake,,,,70,reviewed,us,us
2011-04-30T23:39:12.859Z,52.6618,-168.2412,19.1,2.5,ml,,,,0.61,ak,ak0115iuf039,2018-07-06T23:13:02.886Z,"51 km SE of Nikolski, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2011-04-30T23:32:29.100Z,1.407,132.681,14.1,4.6,mb,54,77.4,,1.03,us,usp000j0uc,2014-11-07T01:44:39.703Z,"247 km SE of Tobi Village, Palau",earthquake,,26.2,,23,reviewed,us,us
2011-04-30T23:08:08.540Z,34.328,140.422,35,4.2,mb,23,116.7,,0.88,us,usp000j0ub,2014-11-07T01:44:39.700Z,"88 km SE of Tateyama, Japan",earthquake,,8.8,,17,reviewed,us,us
2011-04-30T22:58:05.620Z,-37.816,177.581,42.9,4.2,ml,90,114.1,,,us,usp000j0ua,2014-11-07T01:44:39.694Z,"33 km NE of Opotiki, New Zealand",earthquake,,,,,reviewed,wel,wel
2011-04-30T22:45:13.020Z,33.8628333,-117.6623333,9.41,2.08,ml,68,27,0.08065,0.2,ci,ci14977804,2016-03-14T20:23:59.069Z,"9km W of Corona, CA",earthquake,0.23,0.6,0.132,89,reviewed,ci,ci
2011-04-30T22:36:01.090Z,15.196,42.242,10,4.5,mb,82,55.4,,0.96,us,usp000j0u9,2014-11-07T01:44:39.688Z,"88 km WNW of Al ?udaydah, Yemen",earthquake,,,,40,reviewed,us,us
2011-04-30T21:46:55.580Z,13.192,-89.655,69.3,4.7,mwr,125,71.6,,1.28,us,usp000j0u8,2015-03-24T01:17:08.671Z,"48 km SSE of Acajutla, El Salvador",earthquake,,6.1,,,reviewed,us,us
2011-04-30T21:31:12.520Z,-0.215,124.653,72.3,4,mb,14,170.6,,0.68,us,usp000j0u7,2014-11-07T01:44:39.676Z,"170 km S of Tomohon, Indonesia",earthquake,,28.8,,3,reviewed,us,us
