time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2002-10-31T23:59:37.200Z,33.5333333,-116.9403333,5.205,3.07,ml,75,36.6,,0.26,ci,ci9855477,2016-04-01T23:39:42.869Z,"12km NW of Aguanga, CA",earthquake,0.26,4.1,0.386,51,reviewed,ci,ci
2002-10-31T23:48:47.495Z,37.1709,-114.8,0,2,ml,4,243.66,0.309,0.1309,nn,nn00058400,2018-04-24T22:05:11.343Z,"38 km SE of Alamo, Nevada",earthquake,,0,,,reviewed,nn,nn
2002-10-31T23:03:24.670Z,40.658,-8.398,2.1,2.3,mblg,12,,,,us,usp000bfrz,2014-11-07T01:16:51.396Z,"6 km NE of Valongo, Portugal",earthquake,,,,,reviewed,mdd,mdd
2002-10-31T23:00:27.900Z,-32.851,-71.69,45.8,2.9,md,4,,,,us,usp000bfry,2014-11-07T01:16:51.395Z,"21 km NNW of Valparaíso, Chile",earthquake,,,,,reviewed,guc,guc
2002-10-31T22:56:55.690Z,41.817,14.777,10,3.5,ml,35,,,1.14,us,usp000bfrx,2014-11-07T01:16:51.366Z,"1 km NW of Guardialfiera, Italy",earthquake,,,,,reviewed,us,ldg
2002-10-31T22:33:19.085Z,51.9929,-175.4066,81.5,2.5,ml,,,,0.24,ak,ak002dz4o5j8,2019-02-12T17:24:12.500Z,"85 km E of Adak, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2002-10-31T22:24:37.400Z,49.154,6.825,1,2,ml,10,,,,us,usp000bfrw,2014-11-07T01:16:51.364Z,"2 km NNW of Béning-lès-Saint-Avold, France",earthquake,,,,,reviewed,ldg,ldg
2002-10-31T22:15:50.870Z,53.498,-164.827,19.3,3.3,ml,10,,,,us,usp000bfrv,2019-02-12T17:24:12.135Z,"94 km SE of Akutan, Alaska",earthquake,,,,,reviewed,aeic,aeic
2002-10-31T21:58:03.243Z,63.9024,-148.8446,1,2.3,ml,,,,0.6,ak,ak002dz481lw,2019-02-12T17:24:11.438Z,"7 km NE of Healy, Alaska",earthquake,,0,,,reviewed,ak,ak
2002-10-31T21:46:45.800Z,-32.213,-69.658,135,2.8,md,10,,,,us,usp000bfrt,2014-11-07T01:16:51.359Z,"100 km SSW of Calingasta, Argentina",earthquake,,,,,reviewed,guc,guc
2002-10-31T21:35:32.240Z,51.836,158.804,55.6,4.1,mb,13,,,0.97,us,usp000bfrs,2014-11-07T01:16:51.358Z,"124 km SSE of Vilyuchinsk, Russia",earthquake,,17.6,,4,reviewed,us,us
2002-10-31T21:33:14.510Z,41.815,14.72,10,3.5,md,30,,,1.43,us,usp000bfrr,2014-11-07T01:16:51.354Z,"1 km SSE of Castelmauro, Italy",earthquake,,,,,reviewed,us,pdg
2002-10-31T21:22:32.060Z,1.304,123.155,39.5,4.8,mb,41,,,1.16,us,usp000bfrq,2014-11-07T01:16:51.350Z,"85 km N of Gorontalo, Indonesia",earthquake,,14.5,,21,reviewed,us,us
2002-10-31T21:17:56.010Z,46.7038333,-122.7555,-0.191,2.2,md,9,136,0.04968,0.12,uw,uw10576088,2016-07-23T01:23:17.180Z,"13 km SE of Bucoda, Washington",explosion,0.652,1.06,0.03,4,reviewed,uw,uw
2002-10-31T21:15:52.540Z,21.841,121.542,37.1,4.9,mb,111,,,0.95,us,usp000bfrp,2014-11-07T01:16:51.340Z,"84 km ESE of Hengchun, Taiwan",earthquake,,5.8,,57,reviewed,us,us
2002-10-31T21:11:26.690Z,-24.464,-179.932,500,4.8,mb,16,,,1.01,us,usp000bfrn,2014-11-07T01:16:51.338Z,"south of the Fiji Islands",earthquake,,,,6,reviewed,us,us
2002-10-31T20:36:54.190Z,-40.098,-74.716,33,5.2,mwc,150,,,0.94,us,usp000bfrm,2016-11-09T23:51:18.815Z,"112 km WSW of Corral, Chile",earthquake,,,,,reviewed,us,hrv
2002-10-31T20:24:03.741Z,65.7967,-147.9839,13.2,2.4,ml,,,,0.83,ak,ak002dz3fbp2,2019-02-12T17:24:06.206Z,"39 km NE of Livengood, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2002-10-31T20:17:50.800Z,46.982,-0.632,4,2.4,ml,12,,,,us,usp000bfrj,2014-11-07T01:16:51.320Z,"6 km NW of Nueil-les-Aubiers, France",earthquake,,,,,reviewed,ldg,ldg
2002-10-31T20:11:28.861Z,63.2404,-151.347,4.9,2.3,ml,,,,0.81,ak,ak002dz3clbq,2019-02-12T17:24:05.843Z,"38 km SSE of Denali National Park, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2002-10-31T20:09:08.095Z,59.8896,-153.4853,142,2.8,ml,,,,0.52,ak,ak002dz3c4ah,2019-02-12T17:24:05.384Z,"36 km ENE of Pedro Bay, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2002-10-31T19:55:37.890Z,36.8923333,-121.6056667,1.625,2.21,md,13,89,0.01351,0.04,nc,nc21252640,2017-01-03T06:57:43.043Z,"3 km E of Aromas, California",quarry blast,0.47,0.35,0.23,15,reviewed,nc,nc
2002-10-31T19:51:02.690Z,17.999,-68.306,79.9,3.5,md,11,,,,us,usp000bfrg,2014-11-07T01:16:51.313Z,"52 km SE of Boca de Yuma, Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2002-10-31T19:37:57.390Z,51.593,16.155,5,3.2,ml,15,,,0.56,us,usp000bfrf,2014-11-07T01:16:51.310Z,"1 km SW of Gr?bocice, Poland",earthquake,,,,,reviewed,us,grf
2002-10-31T18:52:05.260Z,-5.502,147.308,187.9,4.3,mb,12,,,0.9,us,usp000bfrd,2014-11-07T01:16:51.306Z,"131 km NNW of Finschhafen, Papua New Guinea",earthquake,,10.3,,4,reviewed,us,us
2002-10-31T18:48:23.700Z,37.17,21.01,5,3.6,md,8,,,,us,usp000bfrc,2014-11-07T01:16:51.305Z,"51 km W of Filiatrá, Greece",earthquake,,,,,reviewed,ath,ath
2002-10-31T18:48:17.780Z,-33.342,179.307,500,4.5,mb,13,,,1.27,us,usp000bfrb,2014-11-07T01:16:51.303Z,"south of the Kermadec Islands",earthquake,,,,2,reviewed,us,us
2002-10-31T18:46:58.940Z,35.508,140.926,62.5,4.5,mb,32,,,1.1,us,usp000bfra,2014-11-07T01:16:51.299Z,"26 km SSE of Hasaki, Japan",earthquake,,12.8,,10,reviewed,us,us
2002-10-31T18:31:00.210Z,35.545,33.027,5,3.3,ml,5,,,,us,usp000bfr8,2014-11-07T01:16:51.296Z,"26 km NNW of Lápithos, Cyprus",earthquake,,,,,reviewed,nic,nic
2002-10-31T18:16:27.660Z,34.9758333,-116.3805,4.618,2.1,ml,16,85.9,0.1508,0.13,ci,ci9855381,2016-04-01T20:22:40.690Z,"35km NW of Ludlow, CA",earthquake,0.53,14.76,0.26,16,reviewed,ci,ci
2002-10-31T17:58:31.000Z,37.26,21.14,5,3.2,md,4,,,,us,usp000bfr7,2014-11-07T01:16:51.295Z,"41 km WNW of Filiatrá, Greece",earthquake,,,,,reviewed,ath,ath
2002-10-31T17:22:17.320Z,42.437,14,10,3.5,ml,16,,,1.04,us,usp000bfr6,2014-11-07T01:16:51.293Z,"1 km ENE of Loreto Aprutino, Italy",earthquake,,,,,reviewed,us,ldg
2002-10-31T17:16:00.040Z,-36.17,-100.503,10,4.7,mb,9,,,1.01,us,usp000bfr5,2014-11-07T01:16:51.291Z,"southeast of Easter Island",earthquake,,,,2,reviewed,us,us
2002-10-31T17:07:39.580Z,38.8251667,-122.8021667,1.93,2.33,md,22,42,0.01802,0.03,nc,nc21252619,2017-01-03T06:57:10.632Z,"6 km W of Cobb, California",earthquake,0.17,1.1,0.12,22,reviewed,nc,nc
2002-10-31T17:03:58.485Z,63.4988,-147.7785,3.5,2,ml,,,,0.7,ak,ak002dz1in2g,2019-02-12T17:24:04.632Z,"59 km E of Cantwell, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2002-10-31T16:56:42.020Z,41.747,14.82,10,4,ml,55,,,1.3,us,usp000bfr4,2014-11-07T01:16:51.284Z,"2 km WNW of Casacalenda, Italy",earthquake,,,,,reviewed,us,zag
2002-10-31T16:40:25.690Z,23.634,126.331,33,4.4,mb,20,,,1.12,us,usp000bfr3,2014-11-07T01:16:51.282Z,"166 km SE of Hirara, Japan",earthquake,,,,8,reviewed,us,us
2002-10-31T16:19:51.800Z,-27.134,-176.546,33,4.9,mb,24,,,0.98,us,usp000bfr2,2014-11-07T01:16:51.279Z,"Kermadec Islands region",earthquake,,,,8,reviewed,us,us
2002-10-31T16:10:00.490Z,43.134,145.795,127.7,4.6,mb,32,,,0.92,us,usp000bfr1,2014-11-07T01:16:51.276Z,"27 km SE of Nemuro, Japan",earthquake,,17.9,,16,reviewed,us,us
2002-10-31T16:09:30.750Z,18.521,146.147,37.8,5.4,mwb,206,,,0.9,us,usp000bfr0,2016-11-09T04:39:32.385Z,"Pagan region, Northern Mariana Islands",earthquake,,1.6,,,reviewed,us,us
2002-10-31T16:03:25.411Z,60.6637,-152.3298,97.8,2.1,ml,,,,0.55,ak,ak002dz0x4wt,2019-02-12T17:24:04.314Z,"55 km W of Salamatof, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2002-10-31T16:03:25.260Z,85.009,97.729,10,4.5,mb,20,,,1.06,us,usp000bfqz,2014-11-07T01:16:51.253Z,"north of Severnaya Zemlya",earthquake,,,,8,reviewed,us,us
2002-10-31T15:28:57.570Z,19.4856667,-155.45,6.425,2.55,ml,33,46,,0.12,hv,hv5257335,2020-03-31T20:47:50.650Z,"23 km WNW of Volcano, Hawaii",earthquake,0.33,0.74,0.15,9,reviewed,hv,hv
2002-10-31T14:56:42.852Z,52.1997,-174.045,5,2.6,ml,,,,0.93,ak,ak002dz01nzx,2019-02-12T17:24:10.082Z,"10 km E of Atka, Alaska",earthquake,,0,,,reviewed,ak,ak
2002-10-31T14:51:37.950Z,35.712,31.119,70,4.1,mb,68,,,0.92,us,usp000bfqx,2014-11-07T01:16:51.246Z,"100 km SE of Beykonak, Turkey",earthquake,,5.7,,17,reviewed,us,us
2002-10-31T14:41:38.250Z,40.767,-125.535,4.432,2.73,md,12,312,0.9586,0.05,nc,nc21252596,2017-01-03T06:56:38.668Z,"109 km W of Ferndale, California",earthquake,5.2,8.26,0.34,3,reviewed,nc,nc
2002-10-31T14:34:41.015Z,63.5296,-147.6841,1.6,2.7,ml,,,,1.08,ak,ak002dyzwy3p,2019-02-12T17:24:03.549Z,"65 km ENE of Cantwell, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2002-10-31T14:31:40.580Z,32.1681667,-115.3561667,6.971,2.74,ml,17,234.4,0.5729,0.34,ci,ci9855289,2016-04-02T02:53:25.930Z,"19km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,2.23,30.37,0.039,2,reviewed,ci,ci
2002-10-31T14:01:26.966Z,63.5342,-147.9083,5,2.2,ml,,,,0.86,ak,ak002dyzpue0,2019-02-12T17:24:03.104Z,"54 km ENE of Cantwell, Alaska",earthquake,,0,,,reviewed,ak,ak
2002-10-31T14:01:03.540Z,34.8096667,-116.2666667,4.88,2.6,ml,31,66,,0.15,ci,ci9855281,2016-04-02T02:53:44.813Z,"14km NW of Ludlow, CA",earthquake,0.27,1.5,0.251,47,reviewed,ci,ci
2002-10-31T13:47:30.215Z,63.5376,-147.8713,1,3,ml,,,,0.95,ak,ak002dyze9z1,2019-02-12T17:24:02.638Z,"56 km ESE of McKinley Park, Alaska",earthquake,,0,,,reviewed,ak,ak
