time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-04-30T23:52:44.330Z,39.4906667,-123.1103333,2.912,2.38,md,28,47,0.09189,0.07,nc,nc40216721,2017-01-18T05:32:31.890Z,"18 km N of Potter Valley, California",earthquake,0.17,1,0.191,38,reviewed,nc,nc
2008-04-30T23:27:53.200Z,38.38,21.92,10,2.6,ml,25,50.1,,,us,usp000g57g,2014-11-07T01:35:45.496Z,"8 km E of Náfpaktos, Greece",earthquake,,,,,reviewed,ath,ath
2008-04-30T23:23:09.860Z,61.4404,-140.6722,7.8,2.1,ml,,,,0.44,ak,ak0085khuwwa,2019-02-13T08:52:53.906Z,"120 km E of McCarthy, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2008-04-30T23:11:24.810Z,-24.383,-112.2,10,4.7,mb,26,126.6,,0.93,us,usp000g57f,2014-11-07T01:35:45.493Z,"Easter Island region",earthquake,,,,9,reviewed,us,us
2008-04-30T23:07:52.720Z,39.549,26.025,11.4,3.4,md,32,97.2,,,us,usp000g57e,2014-11-07T01:35:45.490Z,"23 km NNW of Míthymna, Greece",earthquake,,,,,reviewed,isk,ath
2008-04-30T23:00:28.100Z,48.35,6.68,10,2.6,ml,26,44.4,,,us,usp000g57d,2014-11-07T01:35:45.486Z,"1 km NNW of Jeanménil, France",earthquake,,,,,reviewed,str,ldg
2008-04-30T22:34:11.870Z,36.041,140.244,56.3,4.4,mwr,75,186.4,,0.92,us,usp000g57c,2015-03-24T00:55:59.595Z,"4 km ENE of Ami, Japan",earthquake,,7,,,reviewed,us,nied
2008-04-30T22:30:40.430Z,38.15,-1.704,1.4,3.2,mblg,56,63.8,,,us,usp000g57b,2014-11-07T01:35:45.471Z,"8 km S of Calasparra, Spain",earthquake,,,,,reviewed,mdd,mdd
2008-04-30T22:21:14.620Z,19.166,-67.613,5.8,3,md,6,337.5,,,us,usp000g57a,2014-11-07T01:35:45.469Z,"92 km NW of San Antonio, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2008-04-30T22:04:49.700Z,16.157,-98.264,4.6,4,md,13,194.8,,,us,usp000g579,2014-11-07T01:35:45.467Z,"12 km SW of Corralero, Mexico",earthquake,,,,,reviewed,unm,unm
2008-04-30T21:54:04.941Z,39.507,-119.9125,2.4,3.3,ml,35,29.22,0.015,0.0914,nn,nn00243550,2018-07-25T01:14:40.008Z,"1 km ESE of Mogul, Nevada",earthquake,,0.8,0.42,7,reviewed,nn,nn
2008-04-30T21:53:16.410Z,-21.63,-68.11,109.3,3.4,md,11,114.6,,1.26,us,usp000g578,2014-11-07T01:35:45.465Z,"124 km NE of Calama, Chile",earthquake,,10.8,,,reviewed,us,guc
2008-04-30T21:25:33.880Z,19.351,-67.485,46.9,3.3,md,5,340.1,,,us,usp000g577,2014-11-07T01:35:45.464Z,"103 km NNW of San Antonio, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2008-04-30T21:11:42.150Z,-25.845,-177.333,144.2,4.6,mb,44,64.7,,1.11,us,usp000g576,2014-11-07T01:35:45.460Z,"south of the Fiji Islands",earthquake,,10.3,,8,reviewed,us,us
2008-04-30T21:11:10.000Z,-30.215,141.62,0,3.6,ml,4,215.2,,,us,usp000g575,2014-11-07T01:35:45.459Z,"194 km N of Broken Hill, Australia",earthquake,,,,,reviewed,aust,aust
2008-04-30T21:01:54.180Z,-2.993,147.362,35,4.1,mb,12,162.5,,0.42,us,usp000g574,2014-11-07T01:35:45.457Z,"106 km S of Lorengau, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2008-04-30T20:51:48.480Z,32.607,131.905,10,4,mb,21,119.7,,1.01,us,usp000g573,2014-11-07T01:35:45.455Z,"22 km E of Nobeoka, Japan",earthquake,,,,5,reviewed,us,us
2008-04-30T20:46:09.676Z,60.3208,-141.1736,8.5,2.3,ml,,,,0.66,ak,ak0085kg7jjb,2019-02-13T08:52:53.550Z,"118 km NW of Yakutat, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2008-04-30T20:22:27.170Z,13.659,121.156,136.7,4.1,mb,12,175.4,,0.66,us,usp000g572,2014-11-07T01:35:45.453Z,"2 km E of Talahib Payap, Philippines",earthquake,,7.4,,3,reviewed,us,us
2008-04-30T20:15:50.876Z,63.0632,-151.5956,7.2,2.1,ml,,,,0.55,ak,ak0085kg0zin,2019-02-13T08:52:11.217Z,"53 km S of Denali National Park, Alaska",earthquake,,0,,,reviewed,ak,ak
2008-04-30T20:00:07.980Z,60.0099,-153.7497,175.3,2.2,ml,,,,0.77,ak,ak0085kfxogu,2019-02-13T08:52:23.646Z,"31 km NE of Pedro Bay, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2008-04-30T19:55:09.880Z,4.799,124.567,366.7,4.1,mb,38,89.3,,0.94,us,usp000g571,2014-11-07T01:35:45.449Z,"Celebes Sea",earthquake,,7.2,,14,reviewed,us,us
2008-04-30T19:32:53.190Z,0.951,127.755,27.3,4.5,mb,17,148.9,,0.98,us,usp000g570,2014-11-07T01:35:45.447Z,"Halmahera, Indonesia",earthquake,,57.2,,4,reviewed,us,us
2008-04-30T19:30:40.650Z,48.935,-129.152,10,3.6,mw,10,285.9,,,us,usp000g56z,2014-11-07T01:35:45.445Z,"235 km WSW of Vernon, Canada",earthquake,,,,,reviewed,pgc,pgc
2008-04-30T19:29:18.790Z,38.4521667,-87.8731667,15.37,2.6,md,9,87,,0.14,nm,nm606700,2016-04-08T16:59:41.520Z,"8 km NNE of Bellmont, Illinois",earthquake,1.2,1.5,0.002,1,reviewed,nm,nm
2008-04-30T19:22:24.490Z,21.766,120.498,10,4.5,mb,40,104.6,,0.83,us,usp000g56x,2014-11-07T01:35:45.439Z,"Taiwan region",earthquake,,,,8,reviewed,us,us
2008-04-30T18:52:49.401Z,51.5359,-179.9464,53.8,2.8,ml,,,,0.38,ak,ak0085kf21os,2019-02-13T08:52:23.323Z,"232 km W of Adak, Alaska",earthquake,,7.6,,,reviewed,ak,ak
2008-04-30T18:36:26.270Z,35.207,81.513,10,3.9,mb,18,175,,1.14,us,usp000g56w,2014-11-07T01:35:45.437Z,"254 km SSE of Hotan, China",earthquake,,,,3,reviewed,us,us
2008-04-30T18:19:56.210Z,-2.838,147.053,35,4.5,mb,8,182.9,,0.99,us,usp000g56v,2014-11-07T01:35:45.435Z,"92 km SSW of Lorengau, Papua New Guinea",earthquake,,,,1,reviewed,us,us
2008-04-30T18:01:40.490Z,37.3743333,-118.5545,4.933,2.12,md,28,67,0.02252,0.08,nc,nc40216700,2018-07-25T01:13:44.914Z,"5 km SSW of Mesa, California",earthquake,0.24,0.64,0.247,29,reviewed,nc,nc
2008-04-30T18:01:09.350Z,-4.238,103.277,108.9,4.8,mb,79,46.3,,0.87,us,usp000g56u,2014-11-07T01:35:45.427Z,"23 km S of Pagar Alam, Indonesia",earthquake,,8.7,,27,reviewed,us,us
2008-04-30T17:51:52.600Z,-34.582,-72.154,30.2,3.3,ml,10,231.4,,,us,usp000g56t,2014-11-07T01:35:45.425Z,"72 km W of Santa Cruz, Chile",earthquake,,,,,reviewed,guc,guc
2008-04-30T17:24:03.458Z,52.6074,-173.5238,261.2,3.1,ml,,,,0.88,ak,ak0085keaihl,2019-02-13T08:52:09.774Z,"64 km NE of Atka, Alaska",earthquake,,1.7,,,reviewed,ak,ak
2008-04-30T17:17:57.251Z,51.7226,-178.7458,3.6,2,ml,,,,0.38,ak,ak0085ke94ml,2019-02-13T08:52:09.451Z,"146 km W of Adak, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2008-04-30T16:57:15.900Z,35.83,27.16,17,3.3,md,5,177.2,,,us,usp000g56s,2014-11-07T01:35:45.424Z,"Dodecanese Islands, Greece",earthquake,,,,,reviewed,ath,ath
2008-04-30T16:43:24.400Z,-27.818,-66.866,150,4.7,mb,24,47.7,,,us,usp000g56r,2014-11-07T01:35:45.421Z,"28 km ESE of Londres, Argentina",earthquake,,,,2,reviewed,guc,us
2008-04-30T16:35:15.350Z,3.856,95.935,66,4.1,mb,15,155,,1.44,us,usp000g56q,2014-11-07T01:35:45.419Z,"38 km SSW of Meulaboh, Indonesia",earthquake,,,,1,reviewed,us,us
2008-04-30T16:12:30.600Z,36.94,23.19,11,3,md,5,163,,,us,usp000g56n,2014-11-07T01:35:45.415Z,"29 km NE of Sykiá, Greece",earthquake,,,,,reviewed,ath,ath
2008-04-30T16:12:20.470Z,40.823,53.125,35,3.5,mb,9,233.9,,1.47,us,usp000g56m,2014-11-07T01:35:45.414Z,"90 km N of Türkmenba?y, Turkmenistan",earthquake,,,,1,reviewed,us,us
2008-04-30T15:36:03.900Z,16.726,-99.746,12.2,4,md,14,193.6,,,us,usp000g56j,2014-11-07T01:35:45.411Z,"9 km WSW of La Estación, Mexico",earthquake,,,,,reviewed,unm,unm
2008-04-30T15:12:29.900Z,35.73,23.33,17,3.5,md,10,177.5,,,us,usp000g56h,2014-11-07T01:35:45.409Z,"39 km NW of Kíssamos, Greece",earthquake,,,,,reviewed,ath,ath
2008-04-30T15:05:19.520Z,46.633,152.609,50.2,4.9,mb,149,102.9,,0.81,us,usp000g56f,2014-11-07T01:35:45.395Z,"Kuril Islands",earthquake,,,,97,reviewed,us,us
2008-04-30T14:45:50.230Z,13.156,-59.105,3,3.8,md,5,343.7,,,us,usp000g56e,2014-11-07T01:35:45.394Z,"37 km E of Crane, Barbados",earthquake,,,,,reviewed,trn,trn
2008-04-30T14:44:59.500Z,16.92,-100.299,8,3.8,md,8,197.8,,,us,usp000g56d,2014-11-07T01:35:45.392Z,"13 km SSW of El Papayo, Mexico",earthquake,,,,,reviewed,unm,unm
2008-04-30T14:33:04.263Z,56.7877,-154.9647,45.7,2,ml,,,,0.29,ak,ak0085kck56i,2019-02-13T08:52:09.122Z,"51 km WSW of Akhiok, Alaska",earthquake,,1.5,,,reviewed,ak,ak
