time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-31T17:35:14.860Z,36.4823,3.5033,13.13,4.8,mb,,45,3.768,0.89,us,us20005zek,2016-08-10T22:30:29.040Z,"northern Algeria",earthquake,6.7,3.7,0.042,174,reviewed,us,us
2016-05-31T17:26:57.030Z,-60.8995,-23.8161,33.75,4.9,mb,,71,9.487,0.56,us,us200061tf,2016-08-10T22:30:29.040Z,"South Sandwich Islands region",earthquake,7,4.8,0.088,40,reviewed,us,us
2016-05-31T16:58:33.446Z,57.3634,-153.2565,33.2,2,ml,,,,0.49,ak,ak0166znk6uo,2019-06-13T23:11:01.187Z,"18 km N of Old Harbor, Alaska",earthquake,,2.7,,,reviewed,ak,ak
2016-05-31T16:37:43.060Z,3.2049,122.519,518.74,4.2,mb,,147,2.709,1.28,us,us200061te,2016-08-10T22:30:29.040Z,"Celebes Sea",earthquake,16,13.6,0.147,13,reviewed,us,us
2016-05-31T16:34:56.979Z,63.7048,-149.4211,117.9,3.2,ml,,,,0.53,ak,ak0166znf3hd,2019-06-13T23:11:00.790Z,"25 km W of McKinley Park, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2016-05-31T16:29:50.080Z,13.1863,120.581,68.87,4.7,mb,,75,0.973,0.69,us,us20005zea,2016-08-10T22:30:29.040Z,"4 km SSW of Mamburao, Philippines",earthquake,8.3,6.8,0.051,115,reviewed,us,us
2016-05-31T15:54:19.950Z,44.1883,-71.7883,5.4,2,ml,,103,0.111,0.39,us,us20005zi5,2016-08-10T22:30:29.040Z,"3 km SSE of Sugar Hill, New Hampshire",earthquake,1.2,3.5,0.091,16,reviewed,us,us
2016-05-31T15:48:11.960Z,0.5288,-80.1662,10,4.4,mb,,82,1.739,0.96,us,us20005zdi,2016-08-10T22:30:29.040Z,"18 km WSW of Muisne, Ecuador",earthquake,9.5,1.9,0.154,12,reviewed,us,us
2016-05-31T15:28:07.821Z,51.991,-174.3236,136.2,2.4,ml,,,,0.47,ak,ak0166zms9se,2019-06-13T23:10:59.049Z,"24 km SSW of Atka, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2016-05-31T14:35:28.685Z,62.344,-151.1488,86,2,ml,,,,0.44,ak,ak0166zm8dt0,2019-06-13T23:10:57.336Z,"26 km SW of Petersville, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2016-05-31T14:32:36.020Z,53.7402,-164.1181,44.07,3,ml,,208,0.783,0.24,us,us20005zen,2019-06-13T23:10:56.878Z,"117 km ESE of Akutan, Alaska",earthquake,6.3,65,0.148,6,reviewed,us,us
2016-05-31T14:19:02.450Z,-8.2217,119.8203,183.49,4.4,mb,,60,2.426,1.13,us,us20005zd3,2016-08-10T22:30:29.040Z,"31 km NNW of Labuan Bajo, Indonesia",earthquake,8.6,8,0.106,26,reviewed,us,us
2016-05-31T13:47:05.800Z,52.9592,160.6969,30.32,4.3,mb,,110,1.239,0.88,us,us200061tc,2016-08-10T22:30:29.040Z,"137 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,10.2,4.9,0.169,10,reviewed,us,us
2016-05-31T13:45:21.430Z,15.9352,-94.1773,63.73,4.1,mb,,133,0.95,0.89,us,us200061l6,2016-08-10T22:30:29.040Z,"24 km SSW of La Gloria, Mexico",earthquake,4.2,12.5,0.233,5,reviewed,us,us
2016-05-31T13:38:49.580Z,28.7979,142.7655,10,4.8,mb,,144,1.771,0.75,us,us20005zd0,2016-08-10T22:30:29.040Z,"Bonin Islands, Japan region",earthquake,8.9,1.9,0.091,37,reviewed,us,us
2016-05-31T13:17:20.750Z,-30.2236,-177.6449,35,4.5,mb,,138,1.006,1.17,us,us200061th,2016-08-10T22:30:29.040Z,"Kermadec Islands, New Zealand",earthquake,10.6,1.8,0.14,15,reviewed,us,us
2016-05-31T13:05:34.300Z,-8.3855,-74.9243,79.01,4.1,mb,,155,2.292,0.86,us,us200061tb,2016-08-10T22:30:29.040Z,"16 km NW of Campo Verde, Peru",earthquake,7.7,8.3,0.14,14,reviewed,us,us
2016-05-31T12:31:02.499Z,57.0677,-157.9859,16.4,4,ml,,,,0.54,ak,ak0166zl0lpl,2019-06-13T23:10:55.147Z,"41 km ENE of Port Heiden, Alaska",earthquake,,0.2,,,reviewed,ak,ak
