time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-02-28T23:08:44.450Z,36.536,-89.6391667,13.44,3.12,md,63,30,0.02476,0.08,nm,nm60070727,2019-10-10T14:33:22.330Z,"3 km NW of Marston, Missouri",earthquake,0.14,0.25,0.189,50,reviewed,nm,nm
2015-02-28T23:03:31.260Z,-9.5591,155.9075,10,4,mb,,121,3.987,0.55,us,usc000tv6y,2015-05-19T00:29:18.040Z,"191 km SSW of Gizo, Solomon Islands",earthquake,8.9,2,0.196,8,reviewed,us,us
2015-02-28T22:46:26.190Z,4.0342,125.7734,143.1,4,mb,,107,3.61,0.51,us,usc000tv7a,2015-05-19T00:29:18.040Z,"155 km SSE of Sarangani, Philippines",earthquake,10.5,9.4,0.164,10,reviewed,us,us
2015-02-28T22:39:31.910Z,-4.9346,151.5683,133.95,4.7,mb,,73,0.947,0.81,us,usc000tu2x,2015-05-19T00:29:17.040Z,"101 km SW of Kokopo, Papua New Guinea",earthquake,8.9,7.1,0.075,54,reviewed,us,us
2015-02-28T22:16:50.010Z,35.9251667,-120.4775,5.101,2.33,md,80,51,0.01622,0.06,nc,nc72403350,2017-02-07T08:21:11.460Z,"4 km NW of Parkfield, California",earthquake,0.09,0.13,0.186,74,reviewed,nc,nc
2015-02-28T22:12:37.070Z,49.5035,-120.5243333,-0.54,2.07,ml,11,235,0.6216,0.41,uw,uw60977611,2016-07-22T19:46:42.780Z,"5 km N of Princeton, Canada",explosion,3.34,31.61,0.146,8,reviewed,uw,uw
2015-02-28T22:06:53.500Z,36.8349,-97.8779,2.957,2.8,ml,,85,,0.67,us,usc000tu2r,2015-05-19T00:29:17.040Z,"6 km SE of Wakita, Oklahoma",earthquake,2.3,7.9,,,reviewed,tul,tul
2015-02-28T22:06:32.950Z,13.8944,-91.9117,35,4.8,mb,,67,0.66,1.21,us,usc000tu2q,2022-05-03T17:14:28.171Z,"44 km S of Champerico, Guatemala",earthquake,5.4,1.9,0.049,132,reviewed,us,us
2015-02-28T22:03:59.860Z,37.094,-97.8445,4.93,2.26,ml,12,86,0.02659,0.06,ismpkansas,ismpkansas70079343,2015-07-19T22:39:33.010Z,"3 km NE of Bluff City, Kansas",earthquake,0.2,0.53,0.167,16,reviewed,ismp,ismp
2015-02-28T21:17:39.790Z,19.9108333,-155.2746667,36.517,2.04,md,28,229,,0.1,hv,hv60861911,2020-07-06T20:47:08.540Z,"9 km SSW of Laup?hoehoe, Hawaii",earthquake,0.68,1.28,0.021,11,reviewed,hv,hv
2015-02-28T21:06:50.918Z,59.8382,-153.2003,121.5,2.1,ml,,,,0.52,ak,ak0152px8z2b,2019-05-21T03:17:16.464Z,"51 km E of Pedro Bay, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2015-02-28T20:50:10.753Z,41.8589,-119.6521,9.1,2.1,ml,5,131.67,0.143,0.1449,nn,nn00485072,2018-06-29T23:48:30.778Z,"41 km E of Fort Bidwell, California",earthquake,,4.5,0.45,5,reviewed,nn,nn
2015-02-28T20:49:28.947Z,53.5089,-167.1711,83.9,2.2,ml,,,,0.49,ak,ak0152pwwpjy,2019-05-21T03:17:16.138Z,"58 km SW of Unalaska, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2015-02-28T20:41:24.100Z,23.785,-108.764,3.3,4.7,mb,,,,1.07,us,usc000tu1w,2015-05-19T00:29:17.040Z,"86 km ENE of La Rivera, Mexico",earthquake,7.4,4.6,0.049,129,reviewed,unm,us
2015-02-28T20:36:59.430Z,13.2626,148.2889,10,4.1,mb,,99,3.121,0.79,us,usc000tv7v,2015-05-19T00:29:16.040Z,"Mariana Islands region",earthquake,5.9,2,0.213,6,reviewed,us,us
2015-02-28T20:10:24.000Z,-15.7,-71.99,12,4.8,mb,,,,1.1,us,usc000tu1j,2020-07-10T19:21:08.273Z,"13 km ENE of Huambo, Peru",earthquake,9.6,3.9,0.091,37,reviewed,lim,us
2015-02-28T20:01:04.000Z,36.1272,-97.2771,4.646,3.1,ml,,49,,0.81,us,usc000tu1q,2015-05-19T00:29:16.040Z,"9 km ESE of Orlando, Oklahoma",earthquake,1.7,6.6,,,reviewed,tul,tul
2015-02-28T19:58:54.230Z,4.2177,126.7502,42.58,4.4,mb,,139,3.477,0.62,us,usc000tv6v,2015-05-19T00:29:16.040Z,"193 km SE of Sarangani, Philippines",earthquake,4,11.2,0.143,15,reviewed,us,us
2015-02-28T19:50:26.570Z,-3.5061,137.2552,83.89,4.5,mb,,83,5.032,0.82,us,usc000tu1b,2015-05-19T00:29:16.040Z,"195 km E of Nabire, Indonesia",earthquake,9.9,7.4,0.083,44,reviewed,us,us
2015-02-28T19:37:58.300Z,17.9452,-66.7307,15,2.1,Md,7,223.2,0.14462876,0.21,pr,pr15059003,2015-03-01T00:28:42.114Z,"5 km SSW of Tallaboa, Puerto Rico",earthquake,0.9,1.7,0,5,reviewed,pr,pr
2015-02-28T19:27:30.810Z,-56.3493,-27.0752,109.49,5.4,mb,,31,5.759,0.71,us,usc000tu15,2015-05-19T00:29:15.040Z,"South Sandwich Islands region",earthquake,9.7,4.2,0.065,84,reviewed,us,us
2015-02-28T18:14:20.700Z,17.9433,-66.8671,6,2.2,Md,8,198,0.1706799,0.23,pr,pr15059002,2015-02-28T18:40:04.496Z,"4 km SSE of Maria Antonia, Puerto Rico",earthquake,2.6,3.2,0,8,reviewed,pr,pr
2015-02-28T17:58:38.300Z,35.7919,-97.3049,6.08,2.8,ml,,55,,0.69,us,usc000tu0u,2015-05-19T00:29:15.040Z,"7 km SW of Meridian, Oklahoma",earthquake,2.1,7.7,,,reviewed,tul,tul
2015-02-28T17:30:50.940Z,37.2646667,-97.999,3.6,2.3,ml,12,152,0.03267,0.06,ismpkansas,ismpkansas70079298,2015-07-19T22:39:26.910Z,"3 km SE of Harper, Kansas",earthquake,0.22,0.63,0.126,16,reviewed,ismp,ismp
2015-02-28T16:31:19.130Z,1.6733,127.0895,75.64,4.4,mb,,147,0.937,0.59,us,usc000tu0k,2015-05-19T00:29:15.040Z,"102 km W of Tobelo, Indonesia",earthquake,13.2,10.5,0.149,13,reviewed,us,us
2015-02-28T15:53:20.000Z,52.6884,-170.7712,79.1,3.8,mb,,,,1.32,us,usc000tu0e,2021-02-18T22:21:18.263Z,"131 km WSW of Nikolski, Alaska",earthquake,5.4,6.5,0.104,24,reviewed,ak,us
2015-02-28T15:43:01.551Z,54.0324,-163.4653,19.5,2,ml,,,,0.29,ak,ak0152ptw74b,2019-05-21T03:17:08.750Z,"91 km S of False Pass, Alaska",earthquake,,5.9,,,reviewed,ak,ak
