time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-02-28T23:56:33.490Z,51.319,-178.172,56.6,4.6,mb,61,130,,1.14,us,usp000f5vd,2019-02-13T06:07:47.150Z,"123 km WSW of Adak, Alaska",earthquake,,9.1,,20,reviewed,us,us
2007-02-28T23:41:15.540Z,40.9033333,-123.2958333,35.647,2.37,md,6,243,0.08198,0.03,nc,nc40194005,2017-01-16T06:20:26.155Z,"18 km NE of Burnt Ranch, California",earthquake,1.98,1.35,0.16,2,reviewed,nc,nc
2007-02-28T23:29:25.510Z,19.279,-67.098,31.8,3.2,md,15,207.7,,,us,usp000f5vc,2014-11-07T01:31:43.359Z,"86 km N of Isabela, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2007-02-28T23:27:45.700Z,38.4,39.2,5,4.7,mb,121,71.5,,,us,usp000f5vb,2014-11-07T01:31:43.349Z,"10 km WSW of Sivrice, Turkey",earthquake,,,,35,reviewed,isk,us
2007-02-28T23:13:15.610Z,-55.245,-29.142,10,6.2,mwb,186,43.7,,1.21,us,usp000f5va,2022-05-02T19:57:02.562Z,"South Sandwich Islands region",earthquake,,,,,reviewed,us,us
2007-02-28T22:49:26.690Z,-57.339,-24.389,35,4.6,mb,12,70.9,,0.71,us,usp000f5v9,2014-11-07T01:31:43.300Z,"South Sandwich Islands region",earthquake,,,,1,reviewed,us,us
2007-02-28T22:45:54.300Z,39.07,25.68,30,3.9,ml,44,76.1,,,us,usp000f5v8,2014-11-07T01:31:43.296Z,"Aegean Sea",earthquake,,,,,reviewed,ath,the
2007-02-28T22:42:44.140Z,37.834,72.844,135.6,4.6,mb,18,92.9,,0.86,us,usp000f5v7,2014-11-07T01:31:43.294Z,"105 km WSW of Murghob, Tajikistan",earthquake,,9.4,,5,reviewed,us,us
2007-02-28T22:42:43.050Z,66.668,-135.569,5,3.3,ml,11,98.5,,,us,usp000f5v6,2019-02-13T06:07:46.576Z,"90 km SSW of Fort McPherson, Canada",earthquake,,,,,reviewed,pgc,pgc
2007-02-28T22:27:08.670Z,53.848,-164.067,48,3.9,ml,19,173.3,,1.12,us,usp000f5v4,2019-02-13T06:07:46.237Z,"117 km ESE of Akutan, AK",earthquake,,10.6,,,reviewed,us,aeic
2007-02-28T21:54:06.400Z,-28.32,-70.233,96,3.1,md,5,201.4,,,us,usp000f5v3,2014-11-07T01:31:43.287Z,"58 km ENE of Vallenar, Chile",earthquake,,,,,reviewed,guc,guc
2007-02-28T21:52:45.130Z,33.4658333,-116.505,11.238,2.44,ml,45,47,0.08619,0.29,ci,ci12277879,2016-03-09T02:27:52.213Z,"18km ESE of Anza, CA",earthquake,0.37,0.68,0.156,88,reviewed,ci,ci
2007-02-28T21:51:57.730Z,33.4681667,-116.4943333,12.038,2.1,ml,31,72,0.07952,0.18,ci,ci14277260,2016-03-09T14:15:31.292Z,"19km ESE of Anza, CA",earthquake,0.36,0.6,0.162,69,reviewed,ci,ci
2007-02-28T20:41:32.880Z,-6.572,149.07,53.6,3.9,mb,11,217.1,,0.44,us,usp000f5v2,2014-11-07T01:31:43.285Z,"66 km SW of Kandrian, Papua New Guinea",earthquake,,21.5,,1,reviewed,us,us
2007-02-28T20:22:41.000Z,-18.723,123.232,16,3.5,ml,15,121,,,us,usp000f5v1,2014-11-07T01:31:43.283Z,"98 km SE of Roebuck, Australia",earthquake,,,,,reviewed,aust,aust
2007-02-28T20:08:10.000Z,38.316,39.214,7,3.9,ml,7,137,,,us,usp000f5v0,2014-11-07T01:31:43.281Z,"13 km NNW of Çüngü?, Turkey",earthquake,,,,,reviewed,isk,isk
2007-02-28T19:55:33.950Z,38.164,39.312,10,4.8,mb,197,83.3,,1.25,us,usp000f5uz,2014-11-07T01:31:43.266Z,"5 km SSE of Çüngü?, Turkey",earthquake,,,,82,reviewed,us,us
2007-02-28T19:37:15.820Z,60.926,167.118,10,5.1,mb,203,105.3,,0.95,us,usp000f5uy,2014-11-07T01:31:43.251Z,"80 km NE of Tilichiki, Russia",earthquake,,,,113,reviewed,us,us
2007-02-28T18:28:11.190Z,21.924,121.675,10,4.2,mb,23,132.9,,1.06,us,usp000f5ux,2014-11-07T01:31:43.248Z,"96 km E of Hengchun, Taiwan",earthquake,,0,,1,reviewed,us,us
2007-02-28T17:56:54.900Z,-38.57,175.81,159,4.3,m,52,144.8,,,us,usp000f5uw,2014-11-07T01:31:43.244Z,"26 km WNW of Taupo, New Zealand",earthquake,,,,,reviewed,wel,wel
2007-02-28T17:23:15.750Z,35.613,26.532,36.7,3.8,md,20,148.1,,1.13,us,usp000f5uv,2014-11-07T01:31:43.242Z,"41 km WNW of Fry, Greece",earthquake,,11.3,,,reviewed,us,ath
2007-02-28T17:02:30.620Z,5.546,126.68,73.5,4.9,mb,63,80.9,,0.82,us,usp000f5ut,2014-11-07T01:31:43.235Z,"105 km SSE of Pondaguitan, Philippines",earthquake,,8.4,,28,reviewed,us,us
2007-02-28T16:59:53.400Z,-38.39,176.09,169,3.9,m,44,162.3,,,us,usp000f5us,2014-11-07T01:31:43.231Z,"26 km SE of Tokoroa, New Zealand",earthquake,,,,,reviewed,wel,wel
2007-02-28T16:07:38.160Z,36.1533333,-118.0656667,-1.345,2.46,ml,24,88,0.2003,0.2,ci,ci14277224,2016-03-09T03:51:51.596Z,"15km SSW of Olancha, CA",earthquake,0.36,0.76,0.166,42,reviewed,ci,ci
2007-02-28T16:00:06.830Z,-3.353,127.986,48.6,4,mb,10,154.5,,1.27,us,usp000f5uq,2014-11-07T01:31:43.228Z,"43 km NNW of Ambon, Indonesia",earthquake,,38,,1,reviewed,us,us
2007-02-28T15:52:47.213Z,63.1051,-150.8967,120.9,2,ml,,,,0.45,ak,ak0072pty835,2019-02-13T06:07:45.086Z,"63 km SE of Denali National Park, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2007-02-28T15:40:13.980Z,-5.106,152.665,64.5,4.3,mb,16,170.8,,0.56,us,usp000f5up,2014-11-07T01:31:43.227Z,"95 km SSE of Kokopo, Papua New Guinea",earthquake,,17.8,,3,reviewed,us,us
2007-02-28T15:32:05.134Z,64.3654,-152.4846,15.7,2,ml,,,,0.57,ak,ak0072pttuip,2019-02-13T06:07:44.783Z,"54 km N of Lake Minchumina, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2007-02-28T14:46:10.266Z,41.1468,-114.8605,4.4,3.1,ml,9,76.21,0.272,0.1281,nn,nn00200066,2018-04-24T16:59:14.464Z,"9 km ENE of Wells, Nevada",earthquake,,3.7,,,reviewed,nn,nn
2007-02-28T14:32:47.350Z,18.253,-71.436,10,4.4,md,6,195.9,,1.12,us,usp000f5um,2014-11-07T01:31:43.221Z,"11 km S of Mella, Dominican Republic",earthquake,,,,,reviewed,us,rspr
2007-02-28T14:31:43.500Z,-35.47,178.88,211,4,m,20,335.8,,,us,usp000f5uk,2014-11-07T01:31:43.218Z,"off the east coast of the North Island of New Zealand",earthquake,,,,,reviewed,wel,wel
2007-02-28T14:24:21.200Z,40.57,22.31,20,3.2,md,4,178.4,,,us,usp000f5uj,2014-11-07T01:31:43.217Z,"2 km S of Stavrós, Greece",earthquake,,,,,reviewed,ath,ath
2007-02-28T14:15:08.080Z,20.2336667,-155.628,26.68,2.22,ml,28,292,,0.12,hv,hv5555924,2020-03-31T19:53:25.820Z,"13 km NNW of Kukuihaele, Hawaii",earthquake,1.31,3.03,0.13,5,reviewed,hv,hv
2007-02-28T14:13:17.530Z,-29.383,-176.738,10,4.3,mb,15,215.3,,1.35,us,usp000f5uh,2014-11-07T01:31:43.215Z,"Kermadec Islands region",earthquake,,,,2,reviewed,us,us
2007-02-28T13:55:52.985Z,54.7206,-154.9153,29.5,2.7,ml,,,,0.49,ak,ak0072pss0gy,2019-02-13T06:07:50.539Z,"252 km S of Akhiok, Alaska",earthquake,,12.4,,,reviewed,ak,ak
2007-02-28T13:42:35.200Z,41.67,14.827,18.3,2.6,ml,13,108.6,,,us,usp000f5ug,2014-11-07T01:31:43.213Z,"2 km SE of Ripabottoni, Italy",earthquake,,,,,reviewed,rom,rom
2007-02-28T13:05:16.010Z,-4.884,147.503,136.8,4.4,mb,7,258.3,,0.23,us,usp000f5uf,2014-11-07T01:31:43.212Z,"188 km NNW of Finschhafen, Papua New Guinea",earthquake,,33,,1,reviewed,us,us
2007-02-28T13:03:04.510Z,2.454,95.931,30,4.5,mb,20,186.6,,1.06,us,usp000f5ue,2014-11-07T01:31:43.210Z,"50 km W of Sinabang, Indonesia",earthquake,,,,5,reviewed,us,us
